,Unnamed: 0,ID,Solution Set: Distributed Novice,Unnamed: 3,clusters
778,,33334736,"I'd like to see underground travel possible through out the city.   Some massive tunnels, where you would have to take side tunnels to exits, but there would be major arteries.  It would replace a lot of above ground roads.",,4
719,,33334050,"I would like for a train to be in my neighborhood.   IT would go right down the sides of our main streets.   There is a train currently, but you have to drive far to it.   There should be more trains, not just one or two.",,4
1024,,33334350,People step into a box which is like an elevator. It zooms around the streets taking you where you want to go. it runs on a track runs in the street. The track is a small groove in the street that isn't disruptive and allows cars to continue to travel on the road.,,4
824,,33334157,"Instead of paving trucks coming through the neighborhoods, laying down new asphalt, it would be soap trucks.  The streets would be lined with giant tarps, and people would slip and slide to their destinations on specially crafted slip and sliders.  They would look sort of like a canoe, but with a flat bottom.  I think underneath the tarp, there would be air pockets that sensed whenever an object passed over them.  Whenever an object passes over the air pockets, they rapidly self inflate, thereby pushing the slip and slide canoe further and faster.",,4
707,,33334038,I would imagine a monorail type of situation.  With frequent stops around the neighborhood so everyone was able to get on relatively near their home.  It would move quickly and make stops at the nearby schools and stores.,,4
272,,33333608,A zip line system above the ground that brings people to schools and event locations. This would be a fun innovate way to get people from one location to another.,,4
241,,33333577,"A train would be useful in my city. It would be most useful to travel out to other nearby cities. Traffic is extremely bad on the interstate where I live, and a train would be incredibly useful for traveling to the popular cities surrounding my city.",,4
734,,33334067,I would like to see a modern underground railway system installed in my neighbourhood. It would be noiseless and very fast. The railway will connect all the neighbourhood together making it easier to move around. The train would be making stops every half hour  to pick up and drop passengers.,,4
827,,33334160,"Interactive bus schedule app. You pick the starting destination and ending point, plus leave time and it will tell you what time the bus comes to that point, what the ETA and travel schedule is. Also would give a total cost for the trip. I live in a neighboring county and the small bus hooks up with the city bus, but I have no idea what time the bus comes to the bus stop by my house, nor how I would transfer to the bus that takes me to work.",,4
856,,33334738,It would be like a super fast tram or train so the people in my neighborhood could get to run errands without their cars. We could have stops at the entrances to the neighborhood and the tracks could just run down the street.,,4
265,,33333600,"a walkway above the road. it would be totally enclosed and go parallel to the road, not across the road. so people can walk to work/down the main drag without being outside. this would facilitate walking to work.",,4
455,,33333792,Express subway lines would be nice.  WMATA is a terrible system.  But I'd be happy if we could get some sidewalks and bike lanes in our neighborhood.  A real help would be a circulator bus system for the neighborhoods surrounding our subway station.  The current system runs point to point and doesn't reduce car trips to the grocery store and local mall.,,4
1168,,33334487,"Taken from the idea of bike rentals, there should also be motorized scooters available for rental, where you can rent any motorized scooter from a ""station"" and return it to another ""station"" around your area when you are done.",,4
1167,,33334486,"Take the train  to its nearest destination  to your destination.  Get off the train, and rent a bike or scooter to take you to your exact location.  Drop off the bike there, and it's waiting for you for your return trip to the train.  Monthly passes cover all types of transportation and cards are used for bus, train, bike and scooter use.",,4
714,,33334045,"I would like a golf cart system that could get the kids to school on the paths, kind of like a bus system but on a much smaller scale.",,4
247,,33333583,a trolley system that goes through the main line of town. hop on/hop off style so that people can use it to get to work,,4
837,,33334760,It would be a new school bus system that runs on renewable energy. No more gas would be needed to get the kids to school and back home. Making our city one more step greener and setting the bar high!,,4
92,,33333429,"A jitney that makes local stops within a few miles of a small town.  My town would be perfect as an example.  Most errands can be run in a 10 mile radius.  This includes, post office, shopping centers, DMV, library, etc.  there could be a call in to meet at nearest cross stop.  We have 2 main roads that run through town so this would be very easy to implement.",,4
209,,33333544,"a solar powered train that gains energy from the sun from the solar panels on the top of the train. it would run from sun up to sun down, to make sure it always has a charge. it would be sort of like a troll, but go as fast as a train.",,4
961,,33334287,"My idea is a combination of self driving cars, rideshare and a train. Commuters would pay for a ticket and a line of connected self driving cars would take commuters going the same route/direction to a certain dropoff point, like a train does. Then when the string of cars reaches the stop point, each passenger can enter their desired destination into the touchpad screen in the car and they would be driven to their individual destinations. The self driving cars would break off individually from the train to take these passengers, then they'd return on their own to the ""train station"" to go pick up more passengers.",,4
1242,,33334553,"There should be large carousel in the city that circles the block, so people just get on a horse and go where they can.",,4
70,,33333403,"A futuristic railway that could stop at different stops depending on if people are their or now, it could run on renewable energy and stop every quarter mile.",,4
572,,33333903,"I have no problem visualizing a new mode of transportation in my neighborhood. Years ago coal trains ran behind my house and the old gully is still there where the tracks were. Would love to see them back again, but it will never happen.",,4
1206,,33334519,"The suburbs are not currently served by the bus system. I believe that each suburb should get its own bus, which will take riders to a bus stop in the city. There, they may catch another bus or walk to their destination.",,4
823,,33334156,Instead of buses or trains that come at specific times there would be a looped track with chairs that circles the city constantly there would never be a wait as it would be running constantly.,,4
854,,33334187,"It would be great to have a bike share program in my neighborhood. Just have a couple bike lock stations and have the city get us a bunch of bikes, and just use the bikes as we need them and park then when we're done.",,4
672,,33334003,I think that we need a rail system for our city. Its a growing city with lost of bigger cities around it. A main rail system like a subway would make things much easier to get from place to place.,,4
1217,,33334530,The van cars can be used as a means of transport for dropping people at scheduled times just like buses. They will have limited stops to minimize wait time and people using cars for nearby locations can use it instead of using cars personally or waiting for bus at bus stops which go stopping at all the bus stops.,,4
1213,,33334526,"The transportation system is much into the future where you get into a cylinder and press your destination on the buttons, somewhat like an elevator. The tube launches and within minutes, you arrive at your destination within the city limits. The cylinder, if you can imagine, is one like what you put your deposits in at a bank window.",,4
530,,33333862,Hoverboards that really move along and can occupy the bike lanes in some major cities would help unclog pedestrian side walks. Lnaes for Elf cars and Fred Flintstone type vehicles. More companies should be like Google and provide transportation for their employees. Hoover boats that glide across bays 10 times faster that farries plowing throw the water.,,4
46,,33333377,"A conveyor belt system like the airport set up like the nyc trains would be awesome.  A bit slow going, but cheap, affordable, and it would allow people to be out in the fresh air again.",,4
682,,33334015,"I think we should focus on making it easier for people to bike around the area. We need to widen sidewalks and/or have separate paths just for pedestrians and bikers. Oftentimes, the bike lanes are narrow or end abruptly.",,4
1205,,33334518,"the sidewalks should move, and there should be bicycle lanes that move as well so that you can move on the double via the moving roads' motion and the bicycles' motion",,4
531,,33333863,"How about a deluxe line of buses. You have to pay 150 or above a month for a pass, but these run better routes, and they actually run on time. The regular monthly bus pass is 65, but the service is terrible. On this new route, absolutely no discounts, no half fares, no free rides. Always have security on the bus to get rid of the riff raff. This new deluxe bus wouldn't even share stops with the regular bus route.",,4
354,,33333686,Backpack rockets would be a great alternative to getting around this city. Since most places are within a 5 mile radius it would be a super convenient way to get around and would be totally affordable.,,4
173,,33333510,A rail that goes back and forth from campus with known arrival times would be ideal for students to travel from campus to their homes and neighborhoods. This would be like a miniature above ground subway.,,4
755,,33334090,"I would love individual Segway transporters that would go from the house to the transit station.  They would just fit one person and keep them dry.  Only about 1 mile but just far enough in the rain not to walk.  Once at the transit station, the train takes you directly every 5 minutes into the city.",,4
674,,33334006,"I think there should be ""speed walking"" lanes set up.  Separate from where pedestrians walk and separate from bike trails.  I would love it if there were ""fast lanes"" around the strip malls and commercial areas of my city.  I tend to speed walk and get so frustrated with trying to dart and dodge around people.  It can almost be like an HOV lane for pedestrians for people who need to walk brisker and faster and get somewhere.  Even slow jogs or panicked gallops would be allowed!  When it's really crowded and busy on the streets, I always feel like a pinball ball.  I think having a dedicated lane to faster walkers or a ""passing lane"" would really help with the flow of pedestrian traffic and its effectiveness.",,4
24,,33333355,"a bus that has little cars in it to take people different places, and once it lets them out the car returns to the bus for others",,4
319,,33333654,"An uber-like system for public transit busses. Riders must request pick up 24 hours ahead of time, and the bus would come to their door or as close as it could to pick the rider up. The fare could be determined by how many riders requested pick up, and drop off to a central location (downtown). From there maybe there would be additional busses that go directly to drop off points rather than on a pre-set route.",,4
491,,33333828,Have an app for parents of kids who go to the same school where they can carpool and share rides to the same events. I live in a climate where these is severe weather so telling people to walk and ride bikes is only good in the summer!,,4
289,,33333621,"An alternative transport that would be excellent would be a monorail in my city.  It could be run with electricity, with many train cars, and go along the main north south route.  You could get almost anywhere in quickly and easily if it went along that route.",,4
169,,33333506,"A rail cart, that is powered by friction and capturing the head it produces while being driven down the rail, it starts with a simple pedal of a bike to create enough momentum and friction to start the process going and then as soon as you produce enough energy to get it moving, it will continue to produce and move forward till you press the brakes. BAM!",,4
1091,,33334416,"School Bus taxi. School buses rumble down our street every day, often not every seat is taken. If you knew the route, and had been vetted through security, you could pay a small fare to hop on and ride along the route, even connecting to other school buses. It would be an energy-efficient mode of transportation. Also, more adults on the bus would probably reduce bullying among the kids.",,4
133,,33333470,"A new transportation system  can be something somewhat like a train, but a small train like shuttle, which can take others around the neighborhood, easy, fast and no traffic.",,4
134,,33333471,"A new transportation system for my neighborhood would be a uber-like bus service. Buses have specific routes, and can stop at any point on that route if you use the service. That way you can have one pick you up close to your house instead of having to drop your car off at a bus station.",,4
663,,33333993,"I think that a trolly system would work well in phoenix.  They would run frequently, be smaller than a bus and go into more neighborhoods.",,4
438,,33333774,"Electric bicycles that work only within a specified area. Like shopping carts that lock wheels when taken too far away from the store, these bikes would lock up when taken outside the area. Anyone can use these bikes within this area.",,4
989,,33334316,My new transportation system would be a golf cart system. We have many elderly people who would enjoy being able to get around using golf carts. It would be a wa around the city without having to use the highway.,,4
1165,,33334484,"Subways with shorter runs. NYC is filled with unused tunnels and stations. Get them up and running. Also, allow people who use any sort of wheel-based transport, that's not a bus or car, to use the bike lanes.",,4
325,,33333660,"An underground system in my small town like a subway. But instead of a subway underground, it would be those moving sidewalks you see in the airports that you could walk or glide quickly from place to place.",,4
111,,33333449,A moving sidewalk could be useful in some areas of my neighbourhood.,,5
249,,33333585,A trolley would be awesome in my small neighborhood since it already has a decent grid of streets,,5
404,,33333740,company that comes in the early morning and scraps and snow/ice off my car,,5
109,,33333447,A motorized scooter program where  you can rent them from stations throughout the city.,,5
1332,,33334649,vans that drive the same routes all the time that charge a small fee,,5
795,,33334749,Imagine thousands of public bikes for you to use for short trips around town. Now imagine tens of thousands of people riding these bikes every day,,5
794,,33334740,"Imagine streets that are great for bicycling, walking, taking transit and just for enjoying in our neighborhood",,5
752,,33334086,I would love a rail system to be installed in our city going north/south along the coast.,,5
6,,33333337,A bicycle service for when you are not in a hurry.,,5
466,,33333803,Free car services to parents with kids in school.  Too cold to walk in the frigid weather.,,5
188,,33333525,A series of futuristic tubes that propel a person from one place to another,,5
190,,33333527,"A series of tubes, like at the bank, but for people in little eggs, with elevator music playing.",,5
1005,,33334333,"One on rails , but it has seats inside a bubble that hangs below the rails.",,5
324,,33333659,an underground shuttle that takes people from big landmarks to another,,5
208,,33333543,A solar powered train system. That can operate during day and night time.,,5
1089,,33334414,Roller coasters to get from one critical area to another critical area.,,5
152,,33333489,"A overhanging monorail. There are a lot of key locations close together, this would be great for my town.",,5
610,,33333941,I live in an area where horses are abundant. It would be a trip if everyone started using their horse instead of a car or motorcycle.,,6
184,,33333519,"A scooter type machine that gets good gas mileage and goes faster than a normal scooter, but it has a roof and a system that protects people from outdoor elements.",,6
559,,33333889,I can see a series of tubes where people can step out of their house and dial in a destination and be delivered there instantaneous.  All travel will be tracked via a smartphone or implanted device.,,6
14,,33333345,A bike path that is in place of all the roads. No cars will be allowed. There will be no worrying about being hit by a car when riding your bike.,,6
19,,33333349,A bunch of self driving cars that will replace buses and taxis. The will have free wifi and be very cheap.,,6
1344,,33334660,We could create tubes connecting major streets that could fit people and ship them through the tunnels in a small fast moving container.,,6
963,,33334289,"My idea is a heater in a home that is powered by running your other appliances. During the winter, when you turn on a light, run the dishwasher or dryer, it would charge up the heater.",,6
495,,33333832,Have motorcycle drivers go around the city picking up passengers. It would be fun for the passengers and cause less pollution.,,6
166,,33333503,"A public transit teleporter using hadron cannon technology. It would break down every molecule in the body, transport them and then reassemble them. It would be painless and incredibly fast.",,6
456,,33333793,extremely light rail. People hop into 1 person rail cars that take up less room than a bike lane. There would be no waiting at the rail station because it leaves as soon as you get in.,,6
677,,33334009,I think there should be personal pods that can ride on train lines and trolley tracks.  These can be bought or rented.  They can follow the train or trolley and then be parked.  It could alleviate a congested train at rush hour.,,6
506,,33333843,Helicopter based taxi that can be taken anywhere.  The roof tops will now be loading and unloading areas and it will free up car congestion.,,6
679,,33334012,"I think we could have carpool vans that schedule drop offs for us in the city which could save gas and promote a green clean transportation system. Also, we could take turns as drivers, with GPS equipped and a convertible top for sunny days.",,6
160,,33333497,A pneumatic tube system similar to the mail slots in old skyscrapers. A person can just step in to a tube and be propelled to their chosen destination.,,6
1271,,33334581,"This system is like an invisible gondola ride, with individual pods that up to a party of 4 can get into, running on magnetic lines.",,6
453,,33333790,Everything runs on automated self driving cars.  Normal cars are not allowed on the road.  Everything will run smoothly since it is computer operated and parking spaces won't be needed.  Bicyclists will no longer have to worry.,,6
181,,33334766,"A ride pool system like uber that uses vans to take people to similar destinations. Like an employee car pool, but done by a third party. Blend of employee car pool, and lyft line (I think that's what it's called).",,6
375,,33333711,"Bus lines that run on algorythms generated by apps on citizens' phones in order to insure adequate service and reduce waste.  In off hours, users can ""ping"" the authority before they reach the stop they expect to be picked up at.",,6
275,,33333611,Adding Hoverboard and segway lanes so pedestrians no longer have to fear being run over on the sidewalk.,,6
1110,,33334432,"Self driving planes. The reason that flying cars never took off was because the high crash risk, now with autonomous cars around the corner planes will be next.",,6
1270,,33334580,"This personal transport would utilize a series of driverless cars.  In tandem with smartphone integration, you could get to where you need to go with the help of just an app!",,6
128,,33333465,"a new system in my neighborhood could be bicycle - but have taxi options, so additional seats attached, perhaps rickshaw style. A person would pedal (no motors, so no issues with being on road) and there would be a seat on the back for a rider. There would be a helmet with each rider.",,6
1041,,33334367,pod like stock cars for city that run on electric. They can be in routes and be like taxis but driverless.,,6
928,,33334256,Motor skating-By fitting a motor in skating and we can use it easily to go from one place to other,,6
1116,,33334438,Self-driving cars will be the near future vehicle which can transport people to locations that is much safer for drivers and fellow passengers.,,6
838,,33334171,"It would be a railway but instead of a train, it has small, separate cars that only fit one individual for their own convenience and comfort. The car would be a tall, rectangular box shape with a seat, kind of like a car seat inside.",,6
465,,33333802,Free bike exchange drop off type situation with buy in.  I'd like to pay a small fee to get a key to buy into a bike exchange that would be availible outside a number of locations spread thoughout the small city to use when i wish.,,6
650,,33333980,"I think freelance carpooling would be a great idea. Vehicle owner can at any time turn themselves into a taxi service. The service can be run through a phone app, workers can set their own hours and rates. This would cut down on pollution, eliminate unnecessary vehicles on the road, and boost the economy overall.",,6
993,,33334321,"My transportation system would be for people to enter their own personal, flying car. The destination would be put into the onboard computer. And then the flying car would automatically proceed on the matrix.",,6
996,,33334324,"New idea, trains that fly.  This would combine two existing means of transportation into one futuristic flight fantasy! A train would travel as usual and then be picked up by a plane.  This way a train car could travel faster and then be dropped back off on its final stop by the plane.",,6
413,,33333749,Create an app called free miles. Drivers pick up other riders in exchange for miles. The drivers can then use the miles they have accumulated and use themy when they need a ride somewhere.,,6
383,,33333718,Can use a taxi hailing service in my neighborhood to get from one point to another. It is relies on a service car and workers.,,6
233,,33333569,A system with bike racks so people can rent bikes and ride around would be nice. There can be multiple areas to be rented from.,,6
553,,33333883,I believe mobile sidewalks are a good idea. They could be on a conveyor system similar to escalators but on a flat plane and a bigger scale.,,6
237,,33333573,A teleportation device or two portals. One would step into this portal and will instantly be on the other side or destination. The portal will be energy efficient and free to use.,,6
800,,33334134,"In my area, we don't have buses or sidewalks. You HAVE to drive a car, even though the area is big enough for a bus. I would love to have an eco-friendly bus route through the main part of town. 



One thing that may be neat would be large sidewalks where people could ride bikes/scooters/walk and avoid using a vehicle. The main road is fairly busy, and there are quite a few shops around that would be more accessible if we had better transportation than just getting in a car! (Boardman, OH). Little scooters with solar power charging stations would be neat.",,7
326,,33333661,"An underground tunnel system just for people, bikes and mopeds.  The idea is that all the cars and congestion can stay up above and people can safely walk or transport themselves around without worrying about cars and busses getting in the way or being run over by them.  Every so often there is a ramp that allows you to exit, as well as natural light through grates and proper ventilation.  It would also be a great way to get around when it snows.",,7
301,,33333633,"An automated system of cabs. Not cars though, more like carriages driven by AI ""Horses"" (Imagine that new Harley electric motorcycle engine, in a short, small, bullet shaped car like you used to see on the SIDE of a motorcycle, pulling a carriage, with an AI brain controlling it). A system like this would have the novelty and functionality of pulling people when you wanted to, or you could just use the AI 'sidecar' to run courier errands on the ground for companies that wanted fast delivery. Think like Amazon drones without the flying, the noise or the whole 'being small enough to get shot down by a .22 and stolen' thing. It keeps the battery away from the passengers if there is ever a crash, too. Which is good because those things can explode sometimes. The best thing about it, though? When it's just moving small items around for parcel delivery, it's not wasting fuel hauling an empty cab around with it. I can't stand seeing people waste so much energy driving a giant SUV around with no passengers or cargo. That act alone should be a top priority for politicians pushing for environmental reform to be talking about.",,7
1263,,33334573,"This is a transportation system that delivers food directly to people's houses. It exists in a large city and people will use an App on their phones to get food delivered to their house. They can enter the restaurant, find out what they want, and someone will deliver the food item by any mean they choose whether it be car or bicycle or walking. The app will also store people's favorite orders at their restaurants so they don't have to think about what to order.",,7
295,,33333627,"an app that takes into account both traffic and train congestion, as well as the speeds to walk or bike, to tell you the fastest mode of transport to a destination. For example, train  might typically be quicker to get from A to B, but when trains are spaced 20 minutes apart late at night and there is no traffic, driving/taxi would be faster.",,7
564,,33333893,"I don't anticipate the transportation system changing too much in my area no matter the time frame. I think the car will rule for the next several decades, but I would like the cars to change. They need not be so huge, and would be powered by plug-in type electrical engines. Each home would have a solar array and this would power your home, and your car. A back-up natural gas power plant would help out if it's cloudy for weeks. Cars would be there for longer trips, but I would also like to see normal bicycle travel increase in the small city I live in. People are fat, lazy, and gross. We don't need anymore technology to go 100 yards, just less lazy people.",,7
787,,33334123,"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!",,7
296,,33333628,"An app that worked somewhat like Uber, but is for ride-sharing/car pooling.  You put in your destination, whether you can drive or not, what time you need to be to your destination, and an acceptable range for the location.  The app would look for others with similar destinations or destinations en-route for others as well as the best route to minimize drive time, but maximize people getting to their destination.  Then the app would calculate a fair percentage of the ride cost for each person based on their destination, travel distance, etc.  Public transportation here isn't great because we are so spread out.  After each ride you could rate other passengers and the driver and those ratings could be used to filter out bad users entirely or just below a certain rating level.",,7
475,,33333812,"Get some large vans and people who are going to the same general area to work can all ride together.  They take turns driving.  It'll be like kids' school buses but for adults.  It'll save money and help bond co-workers together.  There will be enough room for a lot of people so the chances of an incident are slim.  It'll also help when it's bad weather because some people are afraid to drive in it and this would ease some of that stress.  Plus, they could all share in the maintenance and gas for the bus/car so that could save them a lot of money.",,7
1210,,33334523,The terrain where I live can make public transportation hard to develop. It is very hilly. There is a main highway/route that runs straight enough that a rail system could work. It would be good to get people to the more populated section that could then hook up easily with other modes of public transportation (which do not exist right now but it could be done). It would not be high speed as there would need to be several stops along the way. It could be done with an electric source that would not be harmful for pollution.,,7
812,,33334145,In the future we could develop a pod system that takes each person directly to the place they want to go.  A pod station could be set up and all you do is type the address of the location where you want to go and it takes you there in seconds.  This would require some infrastructure and technology to build.,,7
810,,33334143,"In the downtown area, stations to rent bicycles or even mopeds. Maybe you could have a really cheap membership and present your card at the check out station. Then you would return it at another check out station. It would cut down on how much people use cars. The key would be having enough stations to actually get the bike or moped to make the idea viable.",,7
782,,33334118,"I'd love to see a crowdsourced method of alternate transportation in my city, where people could request rides from others who happen to be in the area and going the direction you need to with a minimal cost. There are so many people who have cars and it would be a great option for people who don't have reliable access to one. It could use cell phone apps and perhaps even have a traditional component using telephone for people who are less technologically inclined. The biggest challenge would be safety/security, and I'm honestly not sure how to overcome that aspect. There could be specific stops, almost like bus stops, where people could gather and wait for rides, or schedule rides to pick them up at certain times.",,7
855,,33334765,"It would be hard to have a viable system in my neighborhood, because this area is so scattered. I think the best idea would be a bikeshare; inexpensive access to bikes would be a great idea! The bigger issue would be making our area bike-friendly. That's the part the requires creativity. We could add extra lanes and then add over/underpasses at intersections to make bikes not just inexpensive, but even more time-effective than driving.",,7
390,,33333724,Cars that can connect their GPS's so when they are all going to similar locations they can switch on auto drive and so all the computers can drive automatically. Once the closest stop comes around it'll make it so you have to drive the rest of the way.,,7
626,,33333956,I see a totally different way of transportation in the future. I see solar a powered tram replacing all the buses and since the cost is so much lower there will be many more of them so you can get anywhere you want to go anytime. In addition to the in city tram there will be a super high speed solar powered train that can go 150 mph or more! That will make it so what used to be a 2 hour drive or more will now be a short train ride away. For those who do not want to take the tram there will be an unmanned flying drone taxi. All you do it either tell it your destination or input the location yourself and it automatically takes you there.,,7
739,,33334073,"I would like to see a system built around ""people movers"" - similar to the ride that was once at Disneyland.  It would run underneath the ground - under the traffic.  Each car would hold one or two people with large reclining chairs and a docking station for your laptop so you can watch movies, play games or actually do work.",,7
846,,33334179,It would be cool (although pretty difficult to actually create) to have a gondola lift public transportation system that had cars that could travel over the streets and take people places avoiding traffic! There'd be stops that had elevators and stairs to get up to them and basically they'd just be suspended a bit above the streets and you could travel nicely between them over all the traffic below.,,7
333,,33333666,"As a former city dweller who is now car-less in suburbia, I dream of a system of autonomous cars. The cars are available at convenient stations, much like bike rental stalls in cities. They are non-polluting. Anyone with a smart phone and account can book a ride at any time. Ride sharing is also available. These cars can have a pod design, though larger vehicles are available for people who need to transport larger items or many items. They accept voice commands, so programming is easy, and the cars can take you to almost any destination. Links to other transportation hubs, like trains and buses, are also available. The car doesn't need to be returned to its original location, just to another station. The vehicles are always well maintained and reliable, plus the service is affordable to most.",,7
380,,33333715,"Buses that have the ability to carry bikes for their customers.

Many people don't live next to a bus station and ride their bikes there so if the bus had a place for the bikes it would really help the customers out.",,7
635,,33333966,"I think a great idea for a transportation system would be a neighborhood or city that bans cars and uses all bikes to get around. This would really help the environment and people in this town would also be in really good shape. It would have to be a town that doesn't get very cold in the winter, like where I live, where people could use their bikes comfortably year round. Each bike would have to have a small basket though for people to carry their stuff.",,7
214,,33333549,"A specific lane in which you have to pay money to use.  It could be like 30-40 a month, there is a microchip in the car that can tell if you don't belong there, and it alerts the police.  This lane money could go to taxes/education and the like.  The lane is only restricted to paying customers during regular work hours.   Any other time it's not policed, and anyone can use it.",,7
212,,33333547,"A sort of rail line, but it's a single rail and has many hanging carts. The carts hold maybe 4 people at a time, like a taxi. The price would be cheaper than a bus and they would arrive quickly when you need them. You could push a button on poles that are located around the city, far more often than bus stops, and the cart will come to you quickly and take you directly to your destination. No need for bus drivers or waiting for traffic!",,7
1149,,33334469,"Some sort of free bicycle rides.  It would work by having you use a credit card (so people cannot steal bicycles) as a deposit.   Here's how it would work.  You would walk/visit some sort of kiosk, swipe your card and it would unlock a bicycle from a rack.  You are then free to ride it.  You can then return it to the same kiosk, or perhaps to one further away/new destination and as long as you swipe the credit card again upon returning the bike -- it would clear your deposit.   If you don't return the bike within a reasonable amount of time (say 2 days or so), you could charge the person the price of the bike plus some penalty.   This method won't make much money if free, but you could also setup a rental type system.   Just imagine lots of kiosks around a city, with say 12 or so bikes are each one, and people could rent/ride as needed.  Like a Uhaul type service for bikes.   From a network perspective, I guess it would be like sending a packet to a new location downstream, and the returning of the bike would be the acknowledgment.    If you don't return the bike, it would charge your card aka ask for a retransmission of said packet.  That's all I have for now.",,7
841,,33334174,It would be amazing if we had a subway in my city. It would go to good use and people would use cars less. Everyone drives around here because the bus system is lacking and public transport is difficult. We would benefit from a subway system.,,7
1191,,33334507,"The future transportation system in me neighborhood is going to consist of driverless vehicles that hover and travel with the help of magnetism. The vehicles have built in solar panels that operate throughout the city 24/7. These vehicles all have routines they follow everyday so people just have to transfer according to where they want to go. On the other hand, if people want to own their own vehicle then it is possible. They can travel where ever they want to and all they have to do is to recharge their solar battery in the sunlight.",,7
