,,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative
,,skipthoughts_similarity,8,4,poly,word-based,n50_de_rma,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 1, 0, 1, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1898,136,2,0,1898
,,skipthoughts_similarity,8,8,poly,sentence-based,n50_de_rma,"[4 2 4 2 4 7 4 1 2 7 0 6 0 0 2 5 5 1 7 1 3 3 3 2 2 0 2 0 2 0 0 0 2 0 0 0 0
 0 4 0 0 2 1 2 0 2 2 0 4 2]",536,80,3.5,56,480
,,skipthoughts_similarity,8,7,linear,word-based,n50_de_rma,"[0, 2, 7, 2, 1, 1, 6, 3, 1, 3, 1, 1, 2, 2, 2, 4, 4, 4, 0, 3, 1, 4, 2, 1, 3, 2, 2, 1, 3, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 6, 2, 2, 1, 6, 3, 1, 6, 1, 2, 2]",610,72,4,64,546
,,skipthoughts_similarity,8,8,linear,sentence-based,n50_de_rma,"[1 1 1 1 1 1 1 2 1 7 1 3 1 1 1 0 0 2 5 2 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 2 1 1 1 1 1 6 1]",1294,122,1.5,14,1280
,,skipthoughts_similarity,8,7,cosine,word-based,n50_de_rma,"[7, 6, 4, 3, 7, 7, 7, 0, 0, 0, 0, 7, 0, 2, 1, 2, 2, 7, 0, 4, 7, 6, 6, 0, 7, 7, 7, 7, 2, 7, 7, 1, 7, 1, 7, 1, 7, 0, 0, 7, 1, 7, 7, 2, 0, 7, 1, 3, 4, 1]",580,76,5,60,520
,,skipthoughts_similarity,8,8,cosine,sentence-based,n50_de_rma,"[5 5 1 7 1 3 5 6 2 7 2 1 0 5 5 2 2 6 3 6 4 4 4 1 5 2 2 0 2 0 0 0 5 0 0 7 0
 0 5 0 7 2 6 0 7 5 5 2 6 5]",406,66,5,70,336
,,skipthoughts_similarity,10,6,nearest_neighbors,word-based,n50_de_rma,"[3, 3, 4, 4, 3, 4, 0, 0, 2, 2, 0, 2, 6, 3, 0, 4, 7, 7, 0, 7, 4, 4, 4, 2, 7, 2, 2, 2, 0, 2, 4, 2, 2, 2, 2, 4, 4, 3, 4, 2, 4, 4, 4, 6, 3, 6, 3, 2, 7, 0]",512,74,7,62,450
,,skipthoughts_similarity,10,10,nearest_neighbors,sentence-based,n50_de_rma,"[0 6 5 1 5 2 7 5 4 5 2 1 8 6 0 1 1 5 1 5 7 7 7 9 9 8 4 3 8 8 3 3 4 2 0 3 2
 3 4 8 3 4 5 8 2 0 9 2 5 0]",300,56,5,80,220
,,skipthoughts_similarity,10,6,precomputed,word-based,n50_de_rma,"[6, 5, 5, 6, 5, 6, 8, 5, 6, 5, 5, 5, 5, 8, 8, 6, 5, 6, 0, 5, 3, 8, 6, 6, 5, 5, 5, 6, 8, 5, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 6, 4, 5, 5, 8, 6, 6]",912,72,3.5,64,848
,,skipthoughts_similarity,10,10,precomputed,sentence-based,n50_de_rma,"[2 2 4 1 4 3 2 7 1 1 9 0 9 2 2 8 8 5 3 5 6 6 6 0 2 9 2 7 9 9 9 9 2 4 9 1 4
 7 2 9 1 2 7 0 1 2 2 9 1 1]",386,60,3.5,76,310
,,skipthoughts_similarity,10,4,rbf,word-based,n50_de_rma,"[0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 8, 0, 0, 0, 4, 4, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 3, 0, 4, 0, 0, 0]",1322,100,6.5,36,1286
,,skipthoughts_similarity,10,10,rbf,sentence-based,n50_de_rma,"[7 3 1 1 1 0 1 8 6 1 0 1 4 3 3 1 1 9 1 9 2 2 2 6 3 4 6 5 6 4 4 4 3 0 3 3 0
 5 7 4 3 6 8 6 0 3 3 0 1 1]",374,58,4.5,78,296
,,skipthoughts_similarity,10,4,sigmoid,word-based,n50_de_rma,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 7, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 5, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",1118,102,10.5,34,1084
,,skipthoughts_similarity,10,10,sigmoid,sentence-based,n50_de_rma,"[0 9 0 0 0 4 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0
 7 0 5 0 3 0 8 0 0 0 0 0 0]",1646,90,1,46,1600
,,skipthoughts_similarity,10,6,polynomial,word-based,n50_de_rma,"[2, 2, 2, 3, 9, 4, 2, 9, 2, 2, 2, 4, 2, 2, 2, 4, 4, 3, 0, 4, 2, 4, 4, 2, 4, 2, 2, 2, 0, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 4, 2, 5, 4, 4, 2, 4, 4]",866,80,4,56,810
,,skipthoughts_similarity,10,10,polynomial,sentence-based,n50_de_rma,"[3 0 6 0 3 9 3 5 0 3 9 8 9 2 2 7 7 5 3 5 1 1 1 0 0 0 0 2 0 9 9 9 3 9 2 2 9
 2 3 9 2 0 5 0 9 3 3 9 4 3]",418,60,3.5,76,342
,,skipthoughts_similarity,10,6,poly,word-based,n50_de_rma,"[9, 3, 6, 9, 6, 3, 3, 6, 6, 3, 6, 6, 3, 9, 9, 5, 5, 7, 0, 6, 3, 0, 3, 6, 3, 9, 9, 3, 6, 3, 3, 9, 6, 3, 3, 9, 9, 9, 6, 3, 3, 3, 6, 3, 6, 3, 3, 3, 5, 9]",684,78,7,58,626
,,skipthoughts_similarity,10,10,poly,sentence-based,n50_de_rma,"[4 1 6 1 4 5 4 0 1 8 5 3 5 1 1 7 4 0 1 0 2 2 2 1 1 1 1 5 1 5 5 5 4 5 5 1 5
 5 4 5 5 1 0 1 5 4 4 5 9 4]",528,70,2,66,462
,,skipthoughts_similarity,10,8,linear,word-based,n50_de_rma,"[2, 0, 1, 2, 3, 6, 0, 3, 4, 4, 6, 1, 6, 6, 6, 7, 4, 6, 0, 6, 0, 0, 0, 6, 6, 4, 6, 6, 6, 2, 6, 6, 9, 1, 6, 2, 7, 2, 9, 1, 2, 2, 1, 1, 6, 6, 1, 6, 6, 6]",562,68,5,68,494
,,skipthoughts_similarity,10,10,linear,sentence-based,n50_de_rma,"[4 1 8 1 4 1 4 2 1 7 1 3 1 1 1 0 4 2 9 2 5 5 5 1 1 1 4 1 1 1 1 1 4 1 1 1 1
 1 4 1 1 1 2 1 1 4 4 1 6 4]",816,90,1,46,770
,,skipthoughts_similarity,10,7,cosine,word-based,n50_de_rma,"[2, 1, 4, 1, 1, 5, 5, 3, 2, 5, 3, 1, 1, 3, 1, 5, 5, 2, 0, 0, 1, 5, 1, 3, 5, 5, 1, 1, 2, 1, 2, 3, 1, 7, 2, 2, 1, 1, 1, 1, 1, 5, 1, 1, 3, 1, 1, 1, 2, 1]",704,74,6,62,642
,,skipthoughts_similarity,10,10,cosine,sentence-based,n50_de_rma,"[8 2 6 4 6 5 8 1 4 8 0 9 0 2 2 7 7 1 5 1 3 3 3 4 2 4 2 0 0 4 0 4 2 0 0 4 0
 2 8 4 4 2 1 4 4 2 2 4 6 2]",392,66,3.5,70,322
,,skipthoughts_similarity,12,9,nearest_neighbors,word-based,n50_de_rma,"[11, 11, 0, 0, 4, 0, 0, 0, 7, 0, 0, 10, 0, 9, 11, 9, 2, 8, 0, 2, 11, 11, 11, 0, 0, 0, 8, 0, 0, 9, 0, 0, 0, 3, 0, 0, 9, 0, 0, 0, 11, 11, 0, 11, 0, 0, 11, 9, 8, 0]",786,84,2,52,734
,,skipthoughts_similarity,12,12,nearest_neighbors,sentence-based,n50_de_rma,"[ 6 10  6  1  2 11  6  2  3  8  4  8 10  5  1  8  8  2  8  2  0  0  0  7  7
 10  3  5  4 10  9  5  3 11  4  5 11  5  6 10  5  3  2  9 11  7  7  0  2  1]",260,50,4,86,174
,,skipthoughts_similarity,12,6,precomputed,word-based,n50_de_rma,"[7, 1, 3, 1, 3, 3, 3, 3, 0, 5, 3, 7, 1, 3, 1, 1, 8, 7, 0, 3, 1, 1, 1, 3, 3, 1, 7, 1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 7, 3, 1, 1, 3, 1, 3, 1, 1, 1, 3, 3]",836,86,3.5,50,786
,,skipthoughts_similarity,12,12,precomputed,sentence-based,n50_de_rma,"[ 0 11  5  2  5  8 11  4  2  0 10  1 10  9  3 10  2  7  8  7  6  6  6  1 11
  2  2  4 10 10 10  9  0 10 10  2 10  4  0  9  9  2  4  1  9  3 11  2  5  3]",282,58,3.5,78,204
,,skipthoughts_similarity,12,5,rbf,word-based,n50_de_rma,"[2, 2, 2, 9, 8, 0, 0, 0, 9, 7, 0, 0, 0, 2, 8, 2, 7, 0, 0, 0, 9, 2, 2, 0, 0, 9, 9, 9, 0, 0, 0, 0, 9, 0, 0, 9, 0, 2, 2, 0, 8, 9, 0, 2, 0, 8, 2, 0, 0, 9]",746,80,10,56,690
,,skipthoughts_similarity,12,12,rbf,sentence-based,n50_de_rma,"[ 2  1  0  0  0  8  0 11  1  0  8  0  9  3  3  0  0 10  0 10  5  5  5  6  3
  1  7  4  3  9  9  9  7  8  3  3  8  4  2  9  3  7 11  6  0  3  3  8  0  0]",346,56,3,80,266
,,skipthoughts_similarity,12,7,sigmoid,word-based,n50_de_rma,"[8, 8, 4, 8, 6, 0, 8, 4, 8, 4, 8, 4, 8, 5, 8, 8, 2, 8, 0, 8, 0, 9, 0, 4, 8, 8, 4, 8, 8, 8, 8, 8, 8, 4, 8, 8, 8, 8, 4, 8, 8, 8, 0, 8, 4, 8, 8, 8, 8, 0]",1022,98,1,38,984
,,skipthoughts_similarity,12,12,sigmoid,sentence-based,n50_de_rma,"[ 0  8  0  0  0  2  0  0  0  0  0  0  4  0  0  0  0  0 11  0  0  0  0  0  0
  0  0  5  0  0  0 10  1  0  0  0  0  6  0  7  0  3  0  9  0  0  0  0  0  0]",1500,84,1,52,1448
,,skipthoughts_similarity,12,6,polynomial,word-based,n50_de_rma,"[0, 0, 0, 6, 0, 0, 0, 0, 2, 10, 0, 0, 4, 4, 0, 6, 3, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0]",1348,114,1.5,22,1326
,,skipthoughts_similarity,12,12,polynomial,sentence-based,n50_de_rma,"[ 9  4  7  1  9 11  9  6  4 11  4  8 11  0  0  2  5  6 11  6  3  3  3  4  4
  4  4  0  4  4 11  0  9 11  0  0 11  0  9  4  0  4  6  4 11  9  9 11 10  9]",400,60,2,76,324
,,skipthoughts_similarity,12,4,poly,word-based,n50_de_rma,"[2, 2, 2, 2, 2, 2, 2, 9, 9, 9, 2, 0, 2, 2, 2, 9, 9, 1, 0, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",1524,128,4,8,1516
,,skipthoughts_similarity,12,12,poly,sentence-based,n50_de_rma,"[ 0  1  9  4  0  3  0  5  1 11  3  6  3  1  1  7  8  5  3  5  2  2  2  1  1
  3  1  1  1  3  3  3  1  3  1  1  3  1  0  3  1  1  5  1  3  1  1  3 10  1]",574,70,1,66,508
,,skipthoughts_similarity,12,7,linear,word-based,n50_de_rma,"[8, 10, 8, 10, 8, 7, 10, 2, 10, 2, 2, 8, 8, 8, 10, 11, 0, 2, 0, 2, 0, 5, 5, 8, 7, 8, 8, 10, 2, 10, 10, 10, 8, 10, 10, 10, 10, 8, 8, 10, 10, 10, 8, 10, 8, 8, 8, 10, 2, 7]",616,86,3,50,566
,,skipthoughts_similarity,12,12,linear,sentence-based,n50_de_rma,"[10  1  7 11 10  1 10  8  1  6  1  5  1  1  1  4  2  8  9  8  3  3  3  1  1
  1  1  1  1  1  1  1 10  1  1  1  1  1 10  1  1  1  8  1  1 10 10  1  0 10]",778,92,1,44,734
,,skipthoughts_similarity,12,8,cosine,word-based,n50_de_rma,"[5, 5, 4, 5, 9, 5, 5, 2, 5, 5, 5, 2, 5, 1, 5, 5, 3, 3, 0, 3, 5, 5, 5, 0, 5, 5, 1, 5, 2, 5, 5, 2, 5, 0, 0, 5, 0, 5, 4, 5, 5, 5, 2, 5, 3, 5, 5, 5, 6, 5]",940,86,3,50,890
,,skipthoughts_similarity,12,12,cosine,sentence-based,n50_de_rma,"[ 7  3  5  1  5  9  3  2  1 10  1  0  1  3  3  8  8  4  9  4  6  6  6  0  3
  1  1  2  1  1  1  1  7  1  1  1  1  2  7  1  0  1  2  0 11  3  3  1  4  3]",418,72,3,64,354
,,skipthoughts_similarity,14,8,nearest_neighbors,word-based,n50_de_rma,"[7, 7, 5, 1, 5, 7, 7, 5, 1, 2, 13, 7, 7, 7, 7, 4, 4, 4, 0, 10, 7, 7, 7, 5, 7, 4, 1, 7, 7, 7, 7, 2, 7, 2, 5, 7, 1, 7, 5, 7, 7, 7, 5, 7, 13, 7, 7, 7, 10, 7]",792,86,3.5,50,742
,,skipthoughts_similarity,14,14,nearest_neighbors,sentence-based,n50_de_rma,"[ 4  3  6  5  0  9  4  0  1  0  8  6  3  2 12  6  6  0  6  0 10 10 10  7  8
  1 11  2  1  3 13 13 11  9  8 13  9  2  4  1  2  2  0  1  9 11  7  9  0  5]",244,52,3,84,160
,,skipthoughts_similarity,14,8,precomputed,word-based,n50_de_rma,"[2, 2, 3, 0, 3, 2, 10, 12, 2, 10, 9, 3, 2, 3, 2, 12, 4, 12, 0, 10, 2, 5, 2, 12, 2, 3, 3, 2, 12, 2, 3, 3, 2, 12, 3, 2, 12, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 10, 2]",688,74,3,62,626
,,skipthoughts_similarity,14,14,precomputed,sentence-based,n50_de_rma,"[ 9 13  3  1  3  7 12  0  2  4  5  6  5 13  4  5  2  8  7  8 10 10 10  6 13
  2  2  0 11  5  5  1  9 11 11  1 11  0  9  1  1  2  0  6  1  4 12  5  3  4]",230,54,3,82,148
,,skipthoughts_similarity,14,8,rbf,word-based,n50_de_rma,"[12, 12, 3, 12, 11, 12, 12, 2, 12, 3, 5, 1, 5, 1, 1, 0, 5, 2, 0, 2, 12, 12, 12, 1, 12, 12, 5, 12, 5, 12, 12, 5, 12, 3, 5, 12, 5, 12, 12, 12, 12, 12, 12, 12, 1, 12, 9, 12, 2, 5]",734,82,3.5,54,680
,,skipthoughts_similarity,14,14,rbf,sentence-based,n50_de_rma,"[ 9  5  0  0  0  8  0 11 13  0  8  0  4  5 12  0  0 10  0 10  1  1  1  2  5
 13  6  3  7  4  4  4  6  8  7  7  8  3  9  4  0  6 11  2  0 12  5  8  0  0]",318,54,2.5,82,236
,,skipthoughts_similarity,14,7,sigmoid,word-based,n50_de_rma,"[3, 12, 0, 3, 0, 3, 3, 0, 6, 0, 3, 7, 3, 3, 0, 0, 2, 0, 0, 0, 3, 12, 12, 3, 3, 3, 0, 3, 0, 3, 3, 0, 8, 0, 0, 3, 0, 3, 8, 3, 3, 3, 0, 12, 3, 3, 3, 3, 0, 0]",856,78,2,58,798
,,skipthoughts_similarity,14,14,sigmoid,sentence-based,n50_de_rma,"[ 1  8  1  1  1  7  1  1  1  1  1  1  3  1  1  1  1  1  1  1  1  1  1  1  1
 12 11  2  1  1 13  4  5  1  1  1  1  0  1  9  1  6  1 10  1  1  1  1  1  1]",1362,78,1,58,1304
,,skipthoughts_similarity,14,6,polynomial,word-based,n50_de_rma,"[4, 12, 4, 13, 4, 4, 4, 0, 4, 1, 4, 6, 4, 13, 13, 0, 12, 0, 0, 0, 4, 12, 13, 13, 4, 4, 4, 4, 12, 4, 4, 13, 4, 13, 13, 13, 13, 13, 4, 4, 12, 12, 4, 4, 4, 4, 13, 4, 4, 13]",764,90,5.5,46,718
,,skipthoughts_similarity,14,14,polynomial,sentence-based,n50_de_rma,"[ 0  1  5  8 11  1  0 10  1 12  1  7  1  1  1  4  9  2  1  2  3  3  3  1  1
  1  0  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1 10  1  1  0  0  1 13  6]",764,88,1,48,716
,,skipthoughts_similarity,14,8,poly,word-based,n50_de_rma,"[3, 3, 3, 11, 8, 1, 1, 13, 11, 3, 3, 11, 3, 3, 3, 0, 12, 11, 0, 3, 1, 0, 0, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 13, 3, 9, 3, 3, 3]",892,94,3,42,850
,,skipthoughts_similarity,14,14,poly,sentence-based,n50_de_rma,"[ 4 11  2  7  2 11  4  8 11 13 11  9  1  1  1  5  6  0 11  0  3  3  3 11 11
 11  4  1 11 11  1  1  4 11  1  1 11  1  4  1  1 11  8 11  1  4  4 11 10 12]",462,60,1.5,76,386
,,skipthoughts_similarity,14,10,linear,word-based,n50_de_rma,"[1, 8, 8, 3, 6, 2, 8, 6, 3, 8, 0, 3, 8, 0, 0, 8, 4, 2, 0, 2, 7, 5, 5, 8, 8, 8, 6, 8, 8, 8, 8, 6, 3, 8, 8, 8, 8, 8, 3, 0, 13, 13, 3, 8, 0, 8, 0, 0, 2, 8]",564,78,3,58,506
,,skipthoughts_similarity,14,14,linear,sentence-based,n50_de_rma,"[ 0  1 10  4 13  1  0  2  1 11  1  6  1  1  1  8  7  5 12  5  3  3  3  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  0  1  1  1  2  1  1  1  1  1  9 13]",850,112,1,24,826
,,skipthoughts_similarity,14,8,cosine,word-based,n50_de_rma,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 4, 4, 13, 0, 5, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 0, 6, 0, 0, 0, 5, 3]",1254,110,1.5,26,1228
,,skipthoughts_similarity,14,14,cosine,sentence-based,n50_de_rma,"[ 1  5 10  6 10 13  4  2  3 12  5  7  5  4  8  0  0 11 13 11  9  9  9  5  5
  3  3  2  5  5  5  5  1  5  5  2  5  2  1  3  5  3  2  5  4  8  4  3 11  8]",328,66,3,70,258
,,skipthoughts_similarity,16,9,nearest_neighbors,word-based,n50_de_rma,"[5, 5, 5, 2, 13, 4, 11, 13, 11, 5, 13, 2, 8, 15, 5, 15, 11, 11, 0, 11, 4, 8, 4, 2, 8, 11, 11, 4, 5, 4, 5, 5, 4, 2, 4, 5, 2, 5, 4, 8, 5, 4, 4, 5, 7, 8, 5, 4, 4, 4]",456,66,5,70,386
,,skipthoughts_similarity,16,16,nearest_neighbors,sentence-based,n50_de_rma,"[ 1  2  1  5  1 10 15  1  6  1 12  7  2 14  9  7  7  1 10  1 11 11 11  8  4
  2 13  3 12  2 11  2 13  0 12  3  0  3  1  2  3  6  1  8 10  9  9 15  1  5]",266,50,2.5,86,180
,,skipthoughts_similarity,16,10,precomputed,word-based,n50_de_rma,"[11, 11, 5, 11, 15, 4, 11, 15, 4, 1, 11, 2, 11, 11, 11, 11, 0, 9, 0, 9, 6, 11, 11, 11, 11, 5, 3, 11, 11, 11, 11, 11, 4, 11, 11, 11, 11, 11, 5, 11, 11, 11, 15, 11, 15, 11, 5, 11, 9, 1]",858,90,2.5,46,812
,,skipthoughts_similarity,16,16,precomputed,sentence-based,n50_de_rma,"[ 9  1 11  1 11 13  6  4  8  5  5  7  5  1  5 14 14 15 13 15  0  0  0  7  5
  8  3  4  2  1 12 12  3 10  2  2 10  4  9  8 12  3  4  7 12  5  6  8 15  5]",218,50,3,86,132
,,skipthoughts_similarity,16,6,rbf,word-based,n50_de_rma,"[0, 0, 5, 5, 5, 1, 1, 5, 5, 1, 1, 0, 1, 0, 0, 14, 14, 1, 0, 1, 1, 1, 12, 5, 1, 1, 1, 1, 1, 0, 1, 0, 5, 5, 5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 0, 1, 1, 12]",706,76,6,60,646
,,skipthoughts_similarity,16,16,rbf,sentence-based,n50_de_rma,"[ 7 13  1 11  1 14 11 12 15  1 13  1  6 10  8  1  1  0  1  0  3  3  3  9 13
 15  4  2  5  6  6  6  4 14  5  5 14  2  7  6 10  4 12  9 11  8  8 11  1 11]",220,56,3,80,140
,,skipthoughts_similarity,16,7,sigmoid,word-based,n50_de_rma,"[1, 4, 4, 4, 9, 4, 4, 8, 4, 1, 4, 15, 4, 4, 4, 8, 11, 4, 0, 4, 1, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 1]",1212,94,1,42,1170
,,skipthoughts_similarity,16,16,sigmoid,sentence-based,n50_de_rma,"[ 2  6  2  2  2  8  2  2  2  2  2  2  1  0  2  2  2  2  2  2  2  2  2  2  2
  9 14  4 15  2 12 11  7  2  2  0  2 10  2 13  2  5  2  3  2  2  2  2  2  2]",1170,70,1,66,1104
,,skipthoughts_similarity,16,6,polynomial,word-based,n50_de_rma,"[0, 0, 14, 0, 12, 0, 0, 14, 0, 14, 0, 9, 14, 0, 0, 8, 8, 14, 0, 14, 0, 5, 8, 0, 0, 0, 0, 0, 14, 0, 14, 14, 0, 5, 14, 0, 0, 0, 0, 0, 5, 14, 0, 8, 14, 5, 8, 0, 14, 9]",840,68,4.5,68,772
,,skipthoughts_similarity,16,16,polynomial,sentence-based,n50_de_rma,"[ 2  3  7  9 12  1  2  8  3  3  1 15  1  8  3 13 10 11  3 11  6  6  6  1  3
  1  3  8  1  1  1  1  3  1  1  8  1  8  2  1  8  3  0  1  5  3  3  1 14  4]",422,64,1,72,350
,,skipthoughts_similarity,16,6,poly,word-based,n50_de_rma,"[3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 2, 3, 0, 3, 3, 5, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 8]",1582,128,2,8,1574
,,skipthoughts_similarity,16,16,poly,sentence-based,n50_de_rma,"[ 2 15  3  8  4  0  2 15 15 14  0 12  0 15 15  7 11  9 15  9  6  6  6 15 15
  0 15 15 15  0  0  0  2  0 15 15  0 15  2  0 15 15 13 15  1  2  2  0 10  5]",490,58,1,78,412
,,skipthoughts_similarity,16,10,linear,word-based,n50_de_rma,"[0, 0, 4, 2, 0, 13, 13, 4, 2, 0, 2, 8, 0, 0, 2, 13, 13, 2, 0, 15, 11, 13, 8, 2, 13, 2, 2, 2, 13, 8, 8, 12, 2, 2, 0, 0, 12, 2, 1, 12, 11, 13, 8, 8, 9, 8, 2, 13, 15, 0]",446,56,2.5,80,366
,,skipthoughts_similarity,16,16,linear,sentence-based,n50_de_rma,"[15  0  1  9  7  0 15  2  0 14  0  8  0  0  0  4  3  5 13  5  6  6  6  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0 15  0  0  0  2  0 10  0  0  0 12 11]",806,104,1,32,774
