Synth,ID,Solution Set: Group Novice
008noise,1111168,outsied inside capsule
tubes,1111169,infrastructure interlinked transport tubes across the city ares brief description using these tubes to transport persons to one place of another powered   gravity building a building b building c switchable t-junction electrocally controlled tube station a tube station b tube station c the slopes of the tubes must be engineered precisely to take the weight of an average man without over accelerating the braking system could be electromagnetic which could double as energy harvester to power up the electronics controller and/or the buildings where the tube travels to individual seat designed to house the cimmuter angle small enough to ensure safety the tubes can be constructed in conjunctions with other buildings' structures to support its frame since maximum passengers weight should be limited structural issue can be solved  flying fox concept like a city gondola this reduces need for infrastructure
cable,1111170,cable car MRT system entrance platform entrance queue monorail movement constant double monorail no connected exit platform
driver assist,1111171,GPS controlled cruise control GPS active 90km/h cruise control on 
cable,1111172,cable car above the road  hover cute hitch ride for same direction
road in new dimension,1111173,rotating city  multi-level traffice car > uplift vertical lift  hovercraft
009noise,1111174,magnetism
omnidrive car,1111175,cars with mecanum wheels 
cable,1111176,transportation in the skies building linkaes sky scrapers and buildings transportation system similar to MRT in the skies of the city above everything else no obstruction some form of transportation vehicle 
high speed train,1111177,URLN Base drops onto ground level use linear accelerators car holds 2-4 big cars ~8 network over/under ground railgun - high speed goods transportation dock magnetic clamp magnetic clamp power source nuclear chair fold up and down plastic box rounded capsule minimal moving parts - maglev preferable people: fold chairs down (securing cars for luggage) goods: chairs up securing lashes/ dividers backup rail emergency PS EPS emergency out  lev dropship landing guide boost pad turbo fan emergency remote control autopilot fans meant to only maintain altitude - hydrogen powered low mass composite 4 person transport since low altitude fold down wings for storage
route planning,1111178,receives data from all vehicles on roads predict and manage flows of traffic throughout planning and assigning routes to cars to maximise efficiency manage how cars move on the roads such as lane changes to reduce possible congestions around stoptimes due to dangerous manoeveurs 
teleportation,1111179,insane teleportation device common millenials infinity space in km portal teleportation www.cnet.com/news/scientists-achieve-reliable-quantum-teleportation-for-the-first-time/ its in the works but we will get there! 
047noise,1111180,marry poppins for short distance in CBD  maglev for individuals on exit MRT tracks users are to guide themselves/ pre programmed the boots so you blame yourself if the train is late special boots with maglev device user to remove when done
comforts,1111181,window for light sleeping on the move place to soap and brush teeth entertainment system cum route planner wheels bed mini fridge storage compartment automatically plans your route with respect to your schedule main control system to optimise traffic moves while you sleep you will wake up at your destination
omnidrive car,1111182,rolling sphere but person inside not rolling
bike lane,1111183,bicycle/ electric scooter sharing systems and paths
067noise,1111184,adult work appropriate heelies  work bed
068noise,1111185,maglev individuals superconducting pipe conducting suits home conducting pods workplace  home zipline firefox office cataoult humans calculate trajectories perfectly  jae's block wireframe structure to reduce motorial use shapeshifting block > evens out road surfaces automatically don't need roads any normal natural space works too no need to repair large amounts of infrastructure at one time also singaore no space
moving surface,1111186,conveyor belt fast on route to B station A slow slow station B on route to A fast panels compress together at stations one panel for each person panel spread out while on route
levitation,1111187,cover protector from heat rain etc parachute overdeas flyable half open semi circle magnetic tracks individual occupation lavitation
053noise,1111188,go anywhere door  jet packs school bag rockets  electric bicycle  solar powered travellators solar panels solar panels as power source alight on specified roads alight here
tubes,1111189,the hyperloop personalised transport personnel ring road railway forms neutral network with algorithms for optimisation railways with solar panels can have multiple of these roads electromagnetic controls chamber feasible for a small city high impossible for others Singpaore railways are attached around singapore's buildings with dedicate boarding stations. Input control to destination. Estimated time of arrival displayed system ensures no collision between chambers and optimizes pathways to destination
road in new dimension,1111190,blast off at your desired exit MRT for cars along expressways cars stacked together to reduce space vertical stack like HBD 
boat,1111191,floaty boaty water = less friction no wheels needed control switch propeller (can change direction) can deflate  suction  freelines
wheeled wearable,1111192,skatewheels clip top of boot 
040noise,1111193,start screen check status 
062noise,1111194,team rocket meowth thatÕs right must protect against pidegeys to get people off the road reduce the total number of people  become iron man it is doable just donÕt die of radiation poisoning  portal poof appeared this is a transporter it is doable you just cant do it yet poof gone
056noise,1111195,Hot air balloon  be a smart human use the limbs you already have 
025noise,1111196,wind + rain cannot cycle in the rain wind air resistance everyone chooses to drive = traffic jam hamster ball z entrance/ exit they see me rolling wheels unscrew the cap to interact with the outside world
levitation,1111197,hoverboard
route planning,1111198,GPS system (least crowded route algorithm) hover board
enhanced car,1111199,rotating seat causes shift in center of gravity that allows car to roll forward or backward sideway rotary works too  for route marches in the army allow individual transportation of soldiers & fieldpack & warfare equipment rocket boosters fieldpack fan to increase horizontal velocity
route planning,1111200,smart GPS scheduler reduce human traffic plans individual human travel route 
flying wearable,1111201,jetpack safety
flying collapsable,1111202,a foldable hovering geodesic dome for transportation of families fold and store (space constraint) 
sustainable,1111203,there is a problem with scarcity of rare earth metals the solution is to be old-school I present the flint mobile 
057noise,1111204,wheelchair someone pushes you from point to point  human cannon with parachute for landing
033noise,1111205,front view window this wing can move up and down like a bird wheels for landing and take off side view
standard rail system,1111206,train express literally only stops at these stops express trains across the planet transit time from personal transportation to public transportation encourageing people to use personal mobility devices train when moving direct transition from personal mobility devices to using trains
043noise,1111207,3 tier air sea/reservoir land/underground central reservoir sell boat license as we use many reservoirs for clean water collection  replacing current mrt structure trains remain but route not direct each car is small (~50 people) leve independently to specific train stations but require improved/ increased infrastructure > like japan they have different trains that can express for a certain part of the track then connect to normal
058noise,1111208,horizontal elevator  magnetic roads use repulsion from shoes
moving rooms,1111209,moving rooms what if places move instead of people? buildings are frames and rooms come in and fits into place when there's no need to move  gravity slides and changing landscapes
flying,1111210,line 1 for flight line 2 for flight line 3 for flight use as a car use as a flight the travel line for car 
cable,1111211,Grappling mrt harvesting gravitational energy steps take the lift to the highest floor grapple down the desired location profit  gyroball
standard rail system,1111212,modular train depending on crowd harvest vibration energy electromagnets can be joined  double decker train and mrt platform  personal to-cuber that link up and become more efficient
024noise,1111213,billion dollar idea a b
standard rail system,1111214,SMRT connected to Internet of things 
