Unique ID,Text: Verbatim
30OG32W0SVM696WG8JHIN06Y4H9ENM,"A way to connect your car with a mobile phone app - you would broadcast your intended route (such as commuting home from work) and share this route with people in your local area. For a small fee (under $5) - someone could ask to ""Ride Along"" with you along your route - but with no deviations - they would be allowed to get out along the way, but not change your intended path of travel."
30OG32W0SVM696WG8JHIN06Y4W2NEI,we can have a carpooling service where people drive together for free. gas is paid for by every 10th person.
30X31N5D6410Z6790AWIQBQD6A6SAM,There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.
30X31N5D6410Z6790AWIQBQD6KDASV,"Change the road into a high speed moving floor, like what they have at airport terminals but faster and with chairs to sit in.  You can board a chair in a parking lot/driveway and operate a machine to choose destination.  The chair will then merge into the moving road and go for the destination."
30X31N5D6410Z6790AWIQBQD6RYSAC,"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
30ZX6P7VF96IV0TF01UPSSGSY75J22,my city needs a subway system badly. A subway system would run in a star shaped pattern through the city and eliminate the terrible traffic in my city
30ZX6P7VF96IV0TF01UPSSGSYM0J2R,"Car sharing. Everyone can join a club which has some monthly fee, let's say $100. If they pay this, then they find someone who lets them ride everyday with them to work and back home. They driver gets most of the money (the rest goes to overhead) and takes them to and from work everyday. So I guess it's like a taxi service with a monthly fee, hopefully that using people that work with you at your job."
30ZX6P7VF96IV0TF01UPSSGSYVRJ20,A flying bike that can come straight to you with a click of a button from your phone or tablet.
3137ONMDKHG0ZEFULF4NXGX135MGEF,"Elon Musk's Hyperloop, Hi speed trains traveling in tubes above the city."
317HQ483I83IPBY242798F4QWH2INZ,"A magnetic railway car, like a trolley, that moves and stops by people pressing buttons on the side of the road"
317HQ483I83IPBY242798F4QWN9NIN,"While not practical, Shooting people across the city in canons would be awesome. Perhaps like the air compressed bank tubes for sending stuff out to drivethru?"
3180JW2OT5NAUXC2IKWNQZJ4IHJ5JC,"Sleeper buses that pick you up after a night of drinking, and take you to your workplace in the morning, which include showers."
31EUONYN2WE5T2IE4O652TUPUE6OVQ,"I think having a streetcar system would be amazing, it could be automated to accept fares, and would provide safe transportation for all."
31HQ4X3T3TLHVPYDX1L8ZP6O0DGLSQ,we introduce solar vehicles.
31HQ4X3T3TLHVPYDX1L8ZP6O0ZRLS9,"A bicycle that is completely powered using solar batteries. Therefore, it needs neither peddling nor gasoline for it to keep going."
31IBVUNM9TABNP5L5LNFFZLB2ORVF9,A human taxi system like they have in Asian countries. A guy can run around with a cart and pick up passengers.
31IBVUNM9TABNP5L5LNFFZLB2RXFV5,In the city i live in there is no public transportation. If some rails or buses could be brought in it could help a lot of people here.
31IBVUNM9TABNP5L5LNFFZLB2YIFV4,remove all non commercial traffic.  have extensive light rail connected to robust subway system.  have storage containers deliver large goods.
31JLPPHS2V5LHTGVKE0ZJY2632IO3E,"A great mode of transportation in my neighborhood could be a bus or tram that runs along the local parkway (a road that basically goes across the whole town) people would be able to hop on it and ride it to their destination and be there within walking distance when getting off the bus/tram. Could be relatively cheap, clear up traffic with less people having to drive around, and is highly economical."
31JLPPHS2V5LHTGVKE0ZJY2638QO3Y,Smarter stop lights that are better at managing traffic congestion
31JLPPHS2V5LHTGVKE0ZJY263CLO31,"I can imagine a speedbus being a new form of transportation.  It can have its own lane or tracks, and go as fast or faster than a train."
31LM9EDVOM3EKMI8MKS9KGJQ92GNJH,"Something like Uber or Lyft, but for getting kids to school. This way it's on an as needed basis rather than paying a flat fee for bus service that may not always be used for one reason or another. Especially when the child is staying late for practice or what not."
31LM9EDVOM3EKMI8MKS9KGJQ98YNJB,Busses that come by every 15 minutes to popular spots on campus. Make the schedule more on time and more available to students.
31LVTDXBL8L5UAY0ICL39F1SE01LRK,Railways - Play a leading role in carrying passengers and cargo across India's vast territory.
31LVTDXBL8L5UAY0ICL39F1SE3LLRA,I thinking of transportation that you can transport yourself through your mind.  It would be through dreams that are real.
31LVTDXBL8L5UAY0ICL39F1SEBZRLA,"It's a local version of Uber or Lyft, where you can download an app to get rides near you."
31LVTDXBL8L5UAY0ICL39F1SEHXRLK,"How about a deluxe line of buses. You have to pay 150 or above a month for a pass, but these run better routes, and they actually run on time. The regular monthly bus pass is 65, but the service is terrible. On this new route, absolutely no discounts, no half fares, no free rides. Always have security on the bus to get rid of the riff raff. This new deluxe bus wouldn't even share stops with the regular bus route."
31LVTDXBL8L5UAY0ICL39F1SEKBLRY,"I would love it if the city made walking and riding a bike more user friendly. There are no areas that are safe for pedestrians or bikers. If there were a bike lane, more people could move independently and get to where they are going. Commuters using more than one mode of transportation would be able to get to their destinations more quickly and with greater safety."
31LVTDXBL8L5UAY0ICL39F1SEUTLR0,Ridesharing/carpooling website
31LVTDXBL8L5UAY0ICL39F1SEUVRL8,A carpool app. It has profiles of possible matches and helps match up route schedules.
31N2WW6R9S1RBG32LBH9W4TSB1X3FD,I imagine a transportation system in which we all use underground super chutes. They move us from place to place within our town super fast. It would have to be set up so everything is safe of course. I imagine a network of these chutes spreading throughout the city and they pop you up wherever you want to go. Wouldn't that be amazing?
31N2WW6R9S1RBG32LBH9W4TSB7SF3W,An over the ground monorail would be an effective way to their respective destination.  This would cut down on neighborhood traffic and also be a safe mode of transportation for kids.  Additionally this monorail system could be set up on the school start and end times to make sure kids arrive on time.
31N2WW6R9S1RBG32LBH9W4TSBEPF37,Just a more streamlined bus and rail service. I'd make buses easier to track.
31N2WW6R9S1RBG32LBH9W4TSBIIF38,"I'd love to see an all-electric option for carpooling at the school where I work. There are 5 families whose children/adults work or attend school at the same place, and we live on the same street. We are about 10 miles from school. We could all ride to school together, charge the vehicle while we are at school, and ride home together."
31Q0U3WYDQQIMKAHGO5EKJ1EF7J71W,"I'd like to see vehicles that will fly, take up little space on the ground, go up and down more like a helicopter so large parking runways are not needed. These cars would almost fly themselves and need little direction other than where they're going."
31Q0U3WYDQQIMKAHGO5EKJ1EF9271J,We plan for buy a battery car for our neighbor which help us for the transport. . It will help us to control the pollution for our environment .
31Q0U3WYDQQIMKAHGO5EKJ1EFF817V,"It would be better if the government will create a new transpo scheme wherein there will be a separate lane for buses, a separate late wherein it is closed for every other vehicle and there are stations for the customers just like in train/subway system, card system will be used in the stations estimated time of the next bus arrival shown on screen and it can also be checked through a mobile app"
31Q0U3WYDQQIMKAHGO5EKJ1EFZ717Y,I'd like to see some kind of motorcycle rental system in my neighborhood. This would be really convienant and I imagine quite affordable as well. There tends to be a lot of traffic in my area too so this would prevent the roads from becoming too congested. I live in a high tourism area as well and I think this would be more fun for people to explore the city than renting traditional cars.
31QNSG6A5S40XKU2F9ETZTOMT0I78J,"In my neighborhood, I would like to see some sort of updated streetcar system with solar panels on the top of the street cats,, some sort of energy capture technology on the tracks."
31QNSG6A5S40XKU2F9ETZTOMT5987L,A outdoor moving walkway. Replace parts of the sidewalk with a moving walkway.
31QNSG6A5S40XKU2F9ETZTOMTCZ78O,This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
31QNSG6A5S40XKU2F9ETZTOMTND87P,Adding a light rail system to support the university and the surrounding apartments.
31QTRG6Q2UO4IWPKOZ64YS39ME8YPM,vehicle department
31QTRG6Q2UO4IWPKOZ64YS39MELYPZ,Walk!  Get all together and walk wherever you need to go.
31QTRG6Q2UO4IWPKOZ64YS39MMZYPT,"I'd love to see a crowdsourced method of alternate transportation in my city, where people could request rides from others who happen to be in the area and going the direction you need to with a minimal cost. There are so many people who have cars and it would be a great option for people who don't have reliable access to one. It could use cell phone apps and perhaps even have a traditional component using telephone for people who are less technologically inclined. The biggest challenge would be safety/security, and I'm honestly not sure how to overcome that aspect. There could be specific stops, almost like bus stops, where people could gather and wait for rides, or schedule rides to pick them up at certain times."
31T4R4OBOTR29NKFWLUY1FK5J2YC7B,Zipline rail. Have little vehicles attached to zipline-like things and people can zip from place to place.
31T4R4OBOTR29NKFWLUY1FK5J6TC7E,"High speed trains to commute into Chicago from various cities throughout northwest Indiana, with sleek train stations that include lots of amenities (coffee shops, dry cleaning, etc.)"
31T4R4OBOTR29NKFWLUY1FK5J9NC7E,A giant water slide that takes you from tower to tower in a city
31T4R4OBOTR29NKFWLUY1FK5JQX7CH,I think a new transportation that utilizes a type of rail system on the sidewalks that people can easily easily walk throughout the neighborhood - similar to the moving walkways at airports.  Sort of like a conveyor belt for people.
31UV0MXWNRNEZMSW02BNEY445285IE,"I think a bullet train would be very useful. A train that can transport passengers fast in between the major areas in the neighborhood, for example to schools, the downtown area, the performing arts theater, shopping districts, the airport etc. It doesn't have to stop very often like a bus but an instead be used for getting between major areas and can be supported by the bus system."
31UV0MXWNRNEZMSW02BNEY445POI5H,An iphone app that scans items and gives you coupons. It will save people time from having to look at the newspaper.
31Z0PCVWULQJV4MQI7POQPK97I77TM,"I would like to see a commuter bus with complete wifi access, as well as office equipment available."
31Z0PCVWULQJV4MQI7POQPK97ITT7U,maybe monorails all over the city with a long slide that can take you to your destination.
31Z0PCVWULQJV4MQI7POQPK97PJT7Y,"In the future, there will be electric powered vehicle system. There will be transportation centers with different sized vehicles for rent for a small fee. The vehicles will range in size from one person scooters to six person vehicles. They will be rented on an hourly basis."
320DUZ38G8X8AU1MZGFEUWAT8EVJGI,"In-Tap water heating, for high efficiency hot water"
320DUZ38G8X8AU1MZGFEUWAT8KQGJM,"I imagine an electric trolley like those old school ones, but it would be a hybrid system instead and people could hang off the back and ride it. There would be electronic pass cards that everyone could swipe on and off and it would be subsidized so anyone could use it for super cheap."
323Q6SJS8JR65OA10W6B0YU2UJNHFW,"We could have all of the sidewalks moving.  Just like in an airport.  However, to power these sidewalks, they could be under solar panels.  The panels would protect pedestrians from the sun and also power the walkways."
323Q6SJS8JR65OA10W6B0YU2UM6HFL,"An electric monorail with a few cars that travel between the shopping center about a mile a way from us through the little downtown and stopping at the regional rail station a mile the other direction from us. It would have 2 or 3 trains that run back and forth all day and night transporting people between those two major zones in our neighborhood, eliminating the need for cars to travel nearby."
323Q6SJS8JR65OA10W6B0YU2UPCFHV,"It would be great for our city to offer more access to the rails.  We could use an updated rail system that would make traveling to our larger cities in the state faster, more available, and yet still affordable.  It could bring more people to live in our city if they could travel fast to the big city and help grow our town here.  Our town is terribly depressed and I think that having a high-speed train or just general more options to travel through it would bring a massive amount of revenue into the city."
324G5B4FB4JIFVPZK51E6EI4A4370X,An UBer like system where neighbors help neighbors on a rotating basis.
324G5B4FB4JIFVPZK51E6EI4A7T70T,"I feel like there could be a uber shuttle, sort of like a train system."
324G5B4FB4JIFVPZK51E6EI4AA970F,I would like a taxi like system that doesn't charge so high.
324G5B4FB4JIFVPZK51E6EI4AOT07K,we introduce some of the terms and techniques used in data communications in networks which range from transport to the internet
326O153BMJ9XNU53JP3FRVU4QD4ED1,An app to help set up carpools.
326O153BMJ9XNU53JP3FRVU4QJCEDL,Personal shopping service for seniors.  No cost to them.
326O153BMJ9XNU53JP3FRVU4QQJDE5,Future transportation will be cleaner and more environmentally freindly. Cars will run on less fuel and will have better emissions
326O153BMJ9XNU53JP3FRVU4QW3ED2,People step into a box which is like an elevator. It zooms around the streets taking you where you want to go. it runs on a track runs in the street. The track is a small groove in the street that isn't disruptive and allows cars to continue to travel on the road.
326O153BMJ9XNU53JP3FRVU4QZADEE,"We all transport by cafe-mobiles. Basically it is a portable cafe. Starbucks for example, sents out mobiles that can house two customers and a barista. It is a self driving mobile, so the barista can only worry about serving his customers as they are being driven to work."
32AT8R96GMKKEFL76FD9QC27DJ9SUL,Public Busses  is the mode of transport most frequently used in my people safety
32AT8R96GMKKEFL76FD9QC27DN5USR,Mopeds take you around like taxis!
32AT8R96GMKKEFL76FD9QC27DNDUSZ,"It would be great to have a bike share program in my neighborhood. Just have a couple bike lock stations and have the city get us a bunch of bikes, and just use the bikes as we need them and park then when we're done."
32AT8R96GMKKEFL76FD9QC27DRWSUO,Monorails would be fabulous!
32EYX73OY1K8D0LURQD402XBR32URJ,I imagine a type of hybrid car/rail system that are not owned by individuals.  A person would schedule a pickup to go to work and one home.  The cars would keep circulating picking up and dropping off people all day.  There would be much lesser need for personal parking as well.
32EYX73OY1K8D0LURQD402XBRI5RUD,bio vehicle
32EYX73OY1K8D0LURQD402XBRIORUW,"Use CNG Gas in Autos, Taxi, Buses and Other Public Transport System.
Encouarge People to use Public Transport System to avoid Traffic Congestion and Air Pollution.
Give Tax Subsidies for Less Pollution Technologies."
32EYX73OY1K8D0LURQD402XBRLNUR4,pERSONALIZED SHOPPING FOR SENIORS
32KTQ2V7REQJWSKZO7MWI7GN80QM93,bike sharing stands would be a welcome addition to my city.  Bikes you can rent at one place and drop off somewhere else.
32M8BPYGAUXCFJHGHYUEIVVTV13GI4,In the future we could develop a pod system that takes each person directly to the place they want to go.  A pod station could be set up and all you do is type the address of the location where you want to go and it takes you there in seconds.  This would require some infrastructure and technology to build.
32M8BPYGAUXCFJHGHYUEIVVTVHTIGS,Carpooling platform online that matches drivers and commuters.
32M8BPYGAUXCFJHGHYUEIVVTVHZGIW,I think we should have more and cheaper car sharing.  And use electric cars.
32M8BPYGAUXCFJHGHYUEIVVTVZ4IG3,I would like to see a hover system that occupies the same route as roads and highways to bypass traffic.
32N49TQG3HTGRYODU51N1YAK56LVAZ,"How about color coded cars that only service a particular area for a flat rate. As the car takes a passenger to desired location within that particular area, if another person flags that same colored car, that person can hop in and share the ride. After all, the drop off points will be in the same general area and the rate is flat."
32N49TQG3HTGRYODU51N1YAK5B6VAU,Solar powered roads and highways. We could install solar panels on the concrete and find some way to cover it so panels don't get destroyed. That way any vehicle can use the energy to power itself and travel as it passes on the road. The economy as well as the average person would save a ton of money. The change on the environment would also be beneficial.
32N49TQG3HTGRYODU51N1YAK5O7AV0,A train that connects Orlando and Tampa for easier travel for better job opportunities for both cities
32Q90QCQ1TW510BDB6P2V8PUAPCEKV,"Lets try non mechanical modes of transportation instead we either walk or ride an animal from place to place.  The animal can be any type such as elephant, horse, donkey, camel, and maybe you can train something a bit faster."
32Q90QCQ1TW510BDB6P2V8PUAXPEKO,An app that brings together cyclist for equipment and tool sharing.
32RIADZISTFLXHRSR9MRD84DEIES4F,A flying car would be a good innovation. We would free up the roads making less traffic jams and it'd give people new experiences.
32SCWG5HIIF2ZCFEIGBCF1JGN4I6PX,This area could really use a super speed train that goes much faster than traffic. It could travel above the road system and would save tons of time for many people.
32SCWG5HIIF2ZCFEIGBCF1JGNBFP6R,"If we could all just travel through human sized and safe pods that take us from place to place like the banks vacuum system that would probably be the fastest, safest way."
32SCWG5HIIF2ZCFEIGBCF1JGNBG6P9,"Tubes and capsules.  Capsules would travel from station to station using pressurized air in tubes. Like a banks drive up window tube system, but large enough for poeple"
32SVAV9L3GKWFPMUAVVHI3I1E4DA32,"park and go scooters, to get across town and back"
32SVAV9L3GKWFPMUAVVHI3I1EB4A37,"If it's a neighboorhood idea, maybe a coordination of volunteers via an app for either ridesharing or being the driver for a day."
32UTUBMZ7H7LA8T50J1JW9UQN4EBVE,"An alternative transportation system in my neighborhood could involve something such as a taxi like service but one that ran kind of like a bus, involving general cars. These services could flow around the city and offer rides to people who may not be able to afford any other type of transportation."
32UTUBMZ7H7LA8T50J1JW9UQN6LVB9,"One thing I would love to see in my local area is rent able electric scooters. They would be good for the environment, easy to maintain, and reduce traffic in terms of larger vehicles on the road."
32UTUBMZ7H7LA8T50J1JW9UQNS7VB3,"Have horse drawn carriages on Friday nights, this would be romantic and reduce pollution."
32UTUBMZ7H7LA8T50J1JW9UQNTSVBQ,Smartphone you can reach in a grab items
32XVDSJFP088W8Z03Y7H8K892VCM29,My neighborhood has little walk-ability due to poor road quality and an abundance of speed bumps. My Idea is simple in that they can add multiple lanes above the street for bikes and people walking. This would be on par with what cities have over major crossings but will cost relatively little money compared with adding a train or increasing the once daily buses. This would also allow any expansion of the roads under the walkways and reduce the 10 or so deaths a year from cars hitting people when they are just walking on the side of the road.
32Z9ZLUT1MV0B1NUZZP1NS3GM78HOM,I think we should use a monorail like system to easily get around the suburbs and greater university section of the town.
32Z9ZLUT1MV0B1NUZZP1NS3GMN6OHN,A simple roapway made up of strong steel cable and a cabin controlled by rope. This can be operated downhill and uphill.
32ZKVD547GY1YZRMG9VDDE27W3Z3BP,A series of ziplines that can get you downtown.
32ZKVD547GY1YZRMG9VDDE27W4C3B4,Personal transport is usfull for all
333U7HK6IAQ5YARVXQE6OB7WVL3JDU,Subway that takes you straight to downtown. It would be the best transportation to get to downtown without any traffic to watch football games get to work and other activities. I think a lot more people would be traveling this way.
333U7HK6IAQ5YARVXQE6OB7WVUHJDQ,Electric bikes.  Bikes that require no effort and use electricity.
333U7HK6IAQ5YARVXQE6OB7WVY4JDL,new transportation is very like. all the transportation is important our life.
333U7HK6IAQ5YARVXQE6OB7WVYWDJ7,There are a series of tubes that go over the city. The people get in and it acts like a pneumatic tube that sucks them to the next destination. It would be best for personal transport and no luggage would be allowed.
336KAV9KYR38QPOEM1VS2FVGB4I2Y5,"One Idea I've always had was sky trams. It would operate just like your traditional tram system but instead of a point A to point B ride. You would have an additional 5 to 10 stops on a linear path, to support the stops I would use a magnetic rail system, instead of the old wire cable system. This would cut down on over crowding in terms of public and private transportation."
336KAV9KYR38QPOEM1VS2FVGBHGY2P,"I imagine a train system that runs parallel to the street but is separated from it, unlike a streetcar. It could be elevated from the terrain when necessary to cross over obstacles."
336KAV9KYR38QPOEM1VS2FVGBQ8Y2Z,It would be a new school bus system that runs on renewable energy. No more gas would be needed to get the kids to school and back home. Making our city one more step greener and setting the bar high!
336YQZE83WP0V5INLH9F6RBLM415MP,"Electric scooter rental, have scooters that use the quick charging technology from cars but since they're scooters they'll charge quicker so they'll be ready for potential customers"
336YQZE83WP0V5INLH9F6RBLMED5ML,A separate lane for Ride-Share drivers.  This way the ride-sharing service can cut down on time and money.
336YQZE83WP0V5INLH9F6RBLMZAM55,"In many neighborhoods, stop signs are ignored. I believe switching to yield signs, where ideally suitable, is needed and adding 'bus stops' for local schools that do not hinder traffic."
337RC3OW06DXNHFHRWQDACQVZ0FLV2,An electric scooter renting/check in system
337RC3OW06DXNHFHRWQDACQVZ3NVLQ,Have futuristic moving chairs that are installed onto side walks throughout the city. This will  enable people to just sit down and get to where they want to go!
337RC3OW06DXNHFHRWQDACQVZ4VVL0,A automated truck that delivers groceries and people when bad weather happens and trees are down on the road. Its a big truck that can get through everything
337RC3OW06DXNHFHRWQDACQVZ91LV6,"I'd like to see underground travel possible through out the city.   Some massive tunnels, where you would have to take side tunnels to exits, but there would be major arteries.  It would replace a lot of above ground roads."
338JKRMM27AB9XTTPGKJMXJBXD0HAT,"I want to see electric vehicle charging stations everywhere. At libraries, at Starbucks', everywhere. In the future all cars will be electric and most will be self driving, might as well get started on that now."
339ANSOTR6DHH5DZ7PFTGNNM2Y4KIR,Skyline car- Have pods that move above the buildings and are connected to main areas of interest. People can pay a toll to use them and be transported around the city
33C7UALJVM9MMYF0QTXKYJX9Q4X81I,A system where roads are replaced with some sort of electromagnetic tracks that can transport vehicles faster and safer than current cars
33CID571054DB8DY7MK7RHYC8413LE,Hyperloop:  essentially a super fast subway in a pressurized tube like they use at the drive up to a bank to send things back and forth only on a scale large enough for people to ride in
33CUSNVVNON4XYZLPE6ZDTKH42G88Z,A zip line system above the ground that brings people to schools and event locations. This would be a fun innovate way to get people from one location to another.
33CUSNVVNON4XYZLPE6ZDTKH4KG88Z,A larger bike path so that more people could ride their bikes places. Also every few miles they could have a bench for people to rest with a water fountain.
33F859I567OGS7YLVUKFH83HFRJHBE,"A Railway system for cars, like something out of minority report. You can still drive on the roads but the speed limit is controlled and there is never any accidents because you input your destination into a program in the individual cars and let the railway system get you there."
33F859I567OGS7YLVUKFH83HFZFBHK,"Many people in my town already ride bicycles to and from work or to run errands, and quite frankly I wish more of them would.  I live on a peninsula, so everyone is always competing for parking anyway.  I think bicycles are ideal for commuting in a smallish town like mine."
33FOTY3KENWOY15D75DP05TSG4Y1CF,"a system that would make it to where everyone rides together, and if someone is driving somewhere they can get paid to take someone along with them, it would save money for everyone."
33FOTY3KENWOY15D75DP05TSG50C1U,"I think we should focus on making it easier for people to bike around the area. We need to widen sidewalks and/or have separate paths just for pedestrians and bikers. Oftentimes, the bike lanes are narrow or end abruptly."
33FOTY3KENWOY15D75DP05TSG90C12,I wanted a transportation that will be convenient for everyone. I want t o have a mini car wherein there's no traffic in such a way roads will not meet intersection.
33FOTY3KENWOY15D75DP05TSG921CT,"buses should be branded by route, and have brightly colored easy to identify signs"
33FOTY3KENWOY15D75DP05TSGD0C1A,A activator people carry around and activate when they need a pickup. A wait time is calculated and shown to them. Something you carry on a key chain and just push a button.
33FOTY3KENWOY15D75DP05TSGNL1C4,We could find a way to build jets that transform into tiny boxes that fit in your pocket. That would solve the need for cars since we would be using jets to travel instead.
33FOTY3KENWOY15D75DP05TSGQTC1T,I believe my neighborhood should have some sort of electronic trolley system.  I can take multiple people throughout the day and network workers to certain destinations and landmarks.
33FOTY3KENWOY15D75DP05TSGQUC1U,A much-improved subway.  It is faster and has far fewer delays than the current line.  It is also relatively affordable.
33FOTY3KENWOY15D75DP05TSGSS1CL,There should be rental bicycle areas all over the city with checkpoints.
33IZTU6J82CCVJF2BKOWAJ1B72QXSK,public rail
33IZTU6J82CCVJF2BKOWAJ1B7BNXSZ,"A car which runs without fuel will be a change in the world, because the world is more worried about the global warming. In this car 4 people can sit and there will be pedals for each. Each one uses their own power to cycle the pedals, the energy is saved from each person using hydraulics. The car should be light weighed and it could be easily used by people."
33IZTU6J82CCVJF2BKOWAJ1B7CSXS6,I have an idea of using only one big bus for our entire residence association
33IZTU6J82CCVJF2BKOWAJ1B7N1SXW,trolley system
33IZTU6J82CCVJF2BKOWAJ1B7TJSXQ,"An all electric bus. They would be plugged in over night and run during the day and vice versa. It would run on a normal schedule, but not run on fuel."
33IZTU6J82CCVJF2BKOWAJ1B7ZKXS8,"I believe that a more widespread use of carpool lanes would be a great idea. There aren't any in my area, but I think that building carpool lanes would reduce traffic congestion as well as encourage people to drive with more than one person in the car at a time."
33JKGHPFYD54LUOTPH5108B7D22NMO,Horse and carriage.  Have someone make scheduled stops using a horse and carriage to pick people up and take them around the neighborhood.
33JKGHPFYD54LUOTPH5108B7D53MNU,I would love to see self driving cars to help the blind be more indepentent.
33JKGHPFYD54LUOTPH5108B7DK4NMQ,"A sort of rail line, but it's a single rail and has many hanging carts. The carts hold maybe 4 people at a time, like a taxi. The price would be cheaper than a bus and they would arrive quickly when you need them. You could push a button on poles that are located around the city, far more often than bus stops, and the cart will come to you quickly and take you directly to your destination. No need for bus drivers or waiting for traffic!"
