,S. No. ,Entry
,19,"In continuing coverage, Reuters (5/10) reports that the US Air Force has set the stage for a new competition to develop the next group of GPS 3 satellite for the service, pitting Lockheed, Boeing and Northrop Grumman against each other for a potential multi-billion $defense contract. The article notes that on Friday, the Pentagon awarded three separate $6 million GPS satellite production assessment contracts to the three firms in preparation for the contest. In addition, in an email on Tuesday, the Air Force said that although its strategy is still under development, “the current plan is to conduct a full and open competition...for up to 22 GPS 3 space vehicles broken into two to three blocks,” adding, “The intent is to verify if multiple GPS 3 satellite vehicle sources exist.”"
,20,"UPI (5/6) reported that Russian space officials have disclosed that they have lost contact with nano satellite SamSat-218, “one of the three satellites launched from the country’s new $1 billion Vostochny Cosmodrome, possibly for good.” An unnamed space official told TASS, “No radio contact with the satellite has been available since the launch time, most probably, because it failed to switch on after orbiting.”"
,21,"In continuing coverage, the Wall Street Journal (4/28, Subscription Publication) reports that SpaceX was awarded an $82.7 million launch contract by the US Air Force. The company’s bid was 40% less than what the Pentagon estimated it would cost to send a satellite into orbit. According to the Journal, the low bid highlights how the Elon Musk-led company is transforming the rocket launch industry and pressuring its rival competitors. The article notes that the contract award was the culmination of the Pentagon’s first military satellite competition in more than a decade, spurred by the desire of the Defense Department to reduce the average launch costs to below the more than $200 million commanded by incumbent rocket provider United Launch Alliance (ULA)."
,22,"In continuing coverage, the Wall Street Journal (4/28, Subscription Publication) reports that SpaceX was awarded an $82.7 million launch contract by the US Air Force. The company’s bid was 40% less than what the Pentagon estimated it would cost to send a satellite into orbit. According to the Journal, the low bid highlights how the Elon Musk-led company is transforming the rocket launch industry and pressuring its rival competitors. The article notes that the contract award was the culmination of the Pentagon’s first military satellite competition in more than a decade, spurred by the desire of the Defense Department to reduce the average launch costs to below the more than $200 million commanded by incumbent rocket provider United Launch Alliance (ULA)."
,23,"Space News (4/28, Subscription Publication) reports on amendments to the FY17 National Defense Authorizaion Act that increase the allotment of Russian RD-180 rocket engines that ULA can import for use by the U.S. Air Force, aiming to allow additional satellite launches aboard ULA’s Atlas 5 rocket until its next-generation Vulcan launcher is ready in 2022. Space News also reports on an RD-180 replacement provision that ensures “nearly all of the $300 million the Air Force seeks to spend in 2017” on next-generation launcher R&D will be used for development of a new main-stage rocket engine, a requirement that Space News says is good for Aerojet Rocketdyne, but “likely less welcome” to Orbital ATK, SpaceX, and ULA, which are working on non-engine satellite components."
,24,"Reuters (4/27) reports that on Wednesday, the US Air Force awarded SpaceX an $82.7 million fixed-price contract to launch a GPS satellite into orbit, ending the monopoly on military space launches held by the United Launch Alliance (ULA) for over a decade. Air Force officials said SpaceX is slated to launch the satellite in May 2018. In a statement, Lieutenant General Samuel Greaves, who heads the Air Force’s Space and Missile Systems Center, said that the contract award “achieves a balance between mission success, meeting operational needs, lowering launch costs, and reintroducing competition for National Security Space missions.”"
,25,"Space News (4/27, Subscription Publication) reports that NASA is slashing funding for a Mars landing technology demonstration project by about 85% due to “budget reductions to its space technology program and the need to set aside funding within that program for a satellite servicing effort.” In a presentation on Tuesday, James Reuter, NASA deputy associate administrator for space technology, “said the Low Density Supersonic Decelerator (LDSD) project would get only a small fraction of its originally planned budget of $20 million for 2016.” "
,26,"In continuing coverage, the Orlando (FL) Sentinel (4/19) reports that on Tuesday, Internet satellite company OneWeb announced that it is opening a $85 million manufacturing and testing facility on the Space Coast near the Kennedy Space Center in Florida, with a goal of eventually building 15 satellites per week at the site for commercial and government customers. The article explains that OneWeb “hopes to eventually launch about 900 satellites, many from the Space Coast, in an effort to expand broadband access globally,” adding that the new facility “could eventually add more than 250 jobs to the region, as OneWeb ramps up production.”"
,27,"Reuters (4/20) adds that state-backed economic development agency Space Florida plans to invest about $80 million to construct and equip the facility, which will then be leased to OneWeb. The article also notes that OneWeb, overall, raised $500 million in an initial round of financing from a consortium of investors including Virgin Group, Qualcomm, Coca-Cola, Intelsat, TotalPlay, and Bharti Enterprises."
,28,"Reuters (4/20) adds that state-backed economic development agency Space Florida plans to invest about $80 million to construct and equip the facility, which will then be leased to OneWeb. The article also notes that OneWeb, overall, raised $500 million in an initial round of financing from a consortium of investors including Virgin Group, Qualcomm, Coca-Cola, Intelsat, TotalPlay, and Bharti Enterprises."
,29,"Space News (4/19, Subscription Publication) reports that on Tuesday, the Senate appropriations subcommittee approved a fiscal year 2017 bill that would give NASA $19.3 billion, “nearly the same as 2016 but with a significant increase for the agency’s Space Launch System [SLS] program,” and also “$275 million above the administration’s overall request for NASA.” Based on a summary of the funding, SLS, “the big winner in the bill,” would receive $2.15 billion next year, “$150 million more than it received in 2016 and $840 million above the administration’s request.” Meanwhile, the legislation also “provides $1.3 billion for Orion, $30 million above 2016 and $180 million above the administration’s request,” as well as “$5.4 billion for science programs overall, $200 million below the request.”"
,30,"Reuters (4/18) reports that France and Egypt concluded around $2.26 billion in deals during French President Francois Hollande’s recent visit to Cairo. The agreements include a proposal for a military telecommunications satellite, which Thales Alenia Space and Airbus Space Systems are expected to construct."
,31,"Intelligent Aerospace (4/7) reports that Thales Alenia Space awarded two contracts with a combined value of $4.9 million to MacDonald, Dettwiler and Associates Ltd (MDA) to supply subsystems for the “Sentinel-6A, -6B, -3C, and -3D environmental monitoring satellites,” which are part of Europe’s Copernicus program. Thales Alenia Space, a joint venture between Thales and Finmeccanica, is the prime contractor for the satellites."
,32,"Space News(3/23, Subscription Publication) reports that on Tuesday, Defense Secretary Ash Carter said that the Department of Defense (DoD) will allocate $5 billion in 2016 toward new space investments, including $2 billion for space control efforts “to address potential threats to U.S. space systems.” The article explains that DoD officials are “concerned about China and Russia developing anti-satellite systems, jamming and electronic warfare that could render national security satellites useless.”"
,33,"Bidness Etc. (3/18) reported that the discovery of a cracked part in a satellite in the GPS III series has pushed the launch date back three months while Lockheed Martin replaces the damaged component, which is a ceramic capacitor manufactured by Harris Corporation. Bidness noted that seven GPS IIIs satellites are now behind schedule, with the first satellite “more than 28 months behind” due to issues with its navigation payload, and that the U.S. Air Force “may decide to open the contract to other organizations” for 22 of the 32 satellites, and is reviewing designs by Boeing and Northrop Grumman. The total value of all 32 satellites “should reach $7.2 billion.” The article added that the satellite delays are “by no means as bad” as issues with the Operational Control System (OCX) being developed by Raytheon, which was due in 2016 for an agreed cost of $1.5 billion, but is now expected to be operational in 2022 and “may cost the military around $5.5 billion.”"
,34,"Bidness Etc. (3/18) reported that the discovery of a cracked part in a satellite in the GPS III series has pushed the launch date back three months while Lockheed Martin replaces the damaged component, which is a ceramic capacitor manufactured by Harris Corporation. Bidness noted that seven GPS IIIs satellites are now behind schedule, with the first satellite “more than 28 months behind” due to issues with its navigation payload, and that the U.S. Air Force “may decide to open the contract to other organizations” for 22 of the 32 satellites, and is reviewing designs by Boeing and Northrop Grumman. The total value of all 32 satellites “should reach $7.2 billion.” The article added that the satellite delays are “by no means as bad” as issues with the Operational Control System (OCX) being developed by Raytheon, which was due in 2016 for an agreed cost of $1.5 billion, but is now expected to be operational in 2022 and “may cost the military around $5.5 billion.”"
,35,"Bidness Etc. (3/18) reported that the discovery of a cracked part in a satellite in the GPS III series has pushed the launch date back three months while Lockheed Martin replaces the damaged component, which is a ceramic capacitor manufactured by Harris Corporation. Bidness noted that seven GPS IIIs satellites are now behind schedule, with the first satellite “more than 28 months behind” due to issues with its navigation payload, and that the U.S. Air Force “may decide to open the contract to other organizations” for 22 of the 32 satellites, and is reviewing designs by Boeing and Northrop Grumman. The total value of all 32 satellites “should reach $7.2 billion.” The article added that the satellite delays are “by no means as bad” as issues with the Operational Control System (OCX) being developed by Raytheon, which was due in 2016 for an agreed cost of $1.5 billion, but is now expected to be operational in 2022 and “may cost the military around $5.5 billion.”"
,36,"Reuters(3/3) reports that at a contentious Senate hearing on Thursday, Air Force Secretary Deborah James said that quickly ending U.S. reliance on Russian-built rocket engines could significantly increase the cost of upcoming satellite launches. James told the Senate Armed Services Committee, “Preliminary analysis suggests that a transition ... would add anywhere from $1.5 billion to $5 billion in additional costs...,” adding, “The sooner a full RD-180 ban might start, the more disruptive it would be...and the higher the cost would be."
,37,"The Denver Post (3/1, Campbell-Hicks) reports that because of political pressure over its dependence on Russian-manufactured rocket engines, ULA “has entered into agreements with Blue Origin, Aerojet Rocketdyne, and the Air Force to manufacture new engines on U.S. soil.” On Monday, the Air Force announced a $46 million investment for the development of Blue Origin’s BE-4 engine, which is set “to power Centennial-based ULA’s Vulcan reusable rocket when it launches U.S. military and spy satellites into space,” as well as a $115 million contract with Aerojet Rocketdyne to complete development of the AR1 propulsion system by 2019, “when the first Vulcan flight is expected.” ULA president and CEO Tory Bruno stated, “we believe now is the right time for American investment in a domestic engine.”"
,38,"The Denver Post (3/1, Campbell-Hicks) reports that because of political pressure over its dependence on Russian-manufactured rocket engines, ULA “has entered into agreements with Blue Origin, Aerojet Rocketdyne, and the Air Force to manufacture new engines on U.S. soil.” On Monday, the Air Force announced a $46 million investment for the development of Blue Origin’s BE-4 engine, which is set “to power Centennial-based ULA’s Vulcan reusable rocket when it launches U.S. military and spy satellites into space,” as well as a $115 million contract with Aerojet Rocketdyne to complete development of the AR1 propulsion system by 2019, “when the first Vulcan flight is expected.” ULA president and CEO Tory Bruno stated, “we believe now is the right time for American investment in a domestic engine.”"
,39,"Inside Defense (3/1, Censer) reports that during a call with analysts, Orbital ATK CEO David Thompson said that the company is launching three “growth investments” that could generate between $400 million and $500 million in incremental annual revenue by the end of the decade. In its defense systems group, the company is “initiating a three-year research and development effort focused on advanced ammunition and related small munitions with precision features.” In its flight systems business, Orbital is “working with the Air Force on a potential, four-year jointly funded development program to create an all-domestic intermediate- and large-class space launch vehicle.” In its space systems business, the company is investing in an “in-space commercial satellite servicing system” that is “intended to begin operations following launch in early 2019.” Thompson said that Orbital does not “anticipate government contribution to the space initiative.” Motley Fool (3/1, DiLallo) covers Orbital’s fourth-quarter results."
,40,"Reuters (2/26) reported that on Friday, Luxembourg-based satellite operator SES revealed that it expects a slight increase in revenue this year after an earnings increase in 2015 due to a stronger dollar, although the impact of SpaceX’s delayed launch of its SES-9 communications satellite is unclear. For the full-year 2016, the company forecasts revenue to range between 2.01 and 2.05 billion euros ($2.22-2.26 billion), with a net profit margin of 73.5 to 74 percent. By comparison, in 2015, the company reported a 5% increase in revenue to 2.015 billion €with a profit margin of 74.2 percent."
,41,"Space News (2/24, Subscription Publication) reports that SpaceX has been awarded an estimated $700 million contract from NASA to perform five additional cargo-supply missions for the International Space Station. While the contract was signed in late-December, it was not announced at the time, but has since been by confirmed by both parties. In addition, the latest contract brings the number of missions assigned to SpaceX under the Commercial Resupply Services (CRS) program to a total of 20, while competing supplier Orbital ATK “has been assigned just 10 flights and was not part of the end-year orders.” The article states that is uncertain “whether the December award to SpaceX indicates that Orbital’s Cygnus is falling out of favor with the agency as it assesses space station requirements in the coming years.”"
,42,"Reuters (2/16, Sheahan) that on Tuesday, the European Space Agency (ESA) launched the Sentinel-3A satellite into orbit aboard a Rockot launcher from the Plesetsk cosmodrome in north-western Russia. The article explains that the satellite is part of the multi-billion-€Copernicus Earth observation project designed to monitor and forecast global weather phenomena, and to track global warming. The article adds that the ESA and the EU have committed a total of 8 billion euros ($9 billion) toward the program, which the space agency calls the most ambitious Earth observation initiative thus far."
,43,"WallStreet.org (1/29, Feld) reported that NASA awarded Raytheon a $564 million contract modification for “two satellite sensors as part of the National Oceanic and Atmospheric Administration’s Joint Polar Satellite System Power polar follow-on missions.” According to the article, this contract marks Raytheon’s “fourth and fifth Visible Infrared Imaging Radiometer Suite sensors.”"
,44,"GovCon Wire (1/29, Forrester) reported that a subsidiary of Harris Corp., Exelis, will “supply two Cross-track Infrared Sounder instruments for two upcoming Joint Polar Satellite System follow-on missions under a $316 million contract modification from NASA.” According to the article, the modification will increase the value of Exelis’ contract with NASA to $701.2 million"
,45,"Motley Fool (12/10, Smith) reports that the Congressional ban on Russia’s RD-180 rocket motors has led to a lack of price competition in the U.S. space program. Due to the ban, SpaceX is now the only provider for “the military satellite launch market.” United Launch Alliance (ULA), a joint venture between Lockheed Martin and Boeing, used the Russian motors in its Lockheed Martin-built Atlas V rocket. Meanwhile, ULA’s other rocket, the Boeing-built Delta IV does not use the Russian motors, but is too expensive. The article estimates that without competition from ULA, Space X will earn $70 billion over the next 15 years."
,46,"KUSA-TV Denver (10/31) reported that NASA has awarded United Launch Alliance (ULA) a $132.4 million contract “to launch the space agency’s latest orbiter designed to handle phone calls and data traffic for the International Space Station.” In a statement, Laura Maginnis, ULA vice president of custom services, said, “Our team is ready to again demonstrate the critical teamwork with NASA to ensure the successful integration and launch for the next in the series of TDRS satellites.”"
,47,"The Wall Street Journal(11/1, Wall, Subscription Publication) reports that BAE Systems intends to purchase a 20% share in Reaction Engines, which is developing new propulsive technology. Nigel Whitehead, BAE Systems Group managing director for programs, said that the company believes “there is a world of possibilities in terms of what you can do with this.” The stake was purchased for £20.6 million ($31.8 million) and could lead to lower-cost space launches or faster flight times. The company’s shareholders have yet to provide their approval of the transaction. The funding could lead to a doubling of Reaction Engine’s size from its current 75 employees."
,48,Reuters (11/1) reports that BAE will gain a seat on Reaction Engines’ board and would be its preferred supplier should the deal conclude successfully. The deal also allows Reaction Engines to collect a £60 million ($92.6 million) grant from the British government.
,49,"The Denver Post (10/23, Keeney) reported that the launch of a Lockheed Martin-built Geostationary Operational Environmental Satellite (GOES) R-Series weather satellite “has been again delayed, this time for ‘unspecified issues’ with the spacecraft, SpaceNews reports.” NOAA spokesman John Leslie confirmed that ULA’s upcoming launch of the satellite, a joint project between NASA and the NOAA, has been rescheduled for sometime in October 2016. Lockheed Martin is building four of the satellites under a $1.4 billion contract, and spokesman Gary Napier said the first one is “performing well” in tests. The Post noted that Lockheed’s GPS-III satellite for the Air Force has also faced delays, causing “industry experts to speculate that Lockheed...will now face additional competition for the next round of contracts to build 22 GPS-III satellites.”"
,50,"Florida Today (10/10, Dean) reported on the role that the Kennedy Space Center (KSC) has played recently in “promoting launches for the fast-growing field of mini-satellites known as CubeSats.” Florida Today noted that on October 14 officials from the Launch Services Program at KSC will “discuss roughly $17 million in awards they have made to several companies developing small rockets.” Notably, “around the world, more than 130 CubeSats were launched to orbit last year, almost as many as had launched in the previous decade.”"
,51,"Bloomberg News (10/1, Johnsson) reports that South Africa’s Comair has told Boeing that it may have to cancel $1.1 billion in jet deliveries “due to begin in October after struggling to line up financing without U.S. government assistance.” The transaction “would be the planemaker’s first aircraft order imperiled since the U.S. Export-Import Bank’s charter expired June 30. Boeing is the biggest beneficiary of the agency.” Reuters (10/1) notes that Boeing has already lost two satellite deals due to the shutdown of the Ex-Im Bank."
,52,"USA Today (9/2, Dean) carries a Florida Today article covering the successful launch of a United Launch Alliance Atlas V rocket delivering “the fourth satellite in the Navy’s $7.6 billion Mobile User Objective System, or MUOS,” to orbit. The 21-story rocket lifted off at 6:18 a.m. EDT on Wednesday from Cape Canaveral Air Force Station, after a slight delay due to “a technical problem during fueling.” The article notes that the launch had been delayed “two days by Tropical Storm Erika as it approached Florida.” "
,53,"Sputnik News(7/22) reports that according to Indian Minister of State for the Department of Space Jitendra Singh, the ISRO’s Polar Satellite Launch Vehicle (PSLV) has brought India $103 million in earnings through launching foreign satellites. The article notes that over the next two years, Singh said India will launch “28 additional satellites for various countries.”"
,54,"Telegraph (UK) (7/12, Tovey) highlights the new report, “The Case for Space,” which looks at the economic impact of Britain’s space industry. According to the report, the UK space industry is “disproportionately well represented” in the space sector, particularly the downstream segment of manufacturing space vehicles with 11.2 percent of the operations market for space vehicles, and 10.3 percent of the applications market for the services and data provided by satellites. According Steve Smart, chairman of trade association UKspace, investment in the UK space industry reaps indirect spillover benefits to other industries like enhanced safety through satellite weather prediction and managing farming production to increase yields. The report warns that low levels of funding from the UK government threaten the British space industry’s target of achieving an annual turnover of roughly $62 billion of the global space industry."
,55,"Aviation Week(6/26, Warwick), in an article titled “NASA: Electric-Propulsion X-Plane Is Just First Step,” reported that NASA now has the opportunity to prove some of its “expansive claims about the high efficiency, low noise and emissions and overall transformative potential of electric aircraft propulsion” through “a three-year, $15 million project to fly a distributed electric propulsion (DEP) X-plane.” During comments at the AIAA Aviation 2015 forum on June 23, Mark Moore, NASA’s lead investigator for the project, noted the main goal of test flights that will occur in 2017 “is to demonstrate a five-fold reduction in energy use in cruise, thanks to the smaller wing and other features.” Moore said such an energy reduction comes from both “the shift from hydrocarbon combustion to electric propulsion” as well as “the integration of DEP and the synergistic coupling of aerodynamics and propulsion.”"
,56,"Space News (6/22, Leone, Subscription Publication) reports that the Senate Appropriations Committee’s 2016 NASA budget bill includes $150 million earmarked for the Goddard Space Flight Center’s Satellite Servicing Capabilities Office. According to the reports accompanying the bill, “the funds set aside for the RESTORE-L Pathfinder mission should lead to the immediate funding of efforts to formulate a rapid mission, done in partnership with and overseen by NASA’s existing satellite servicing expertise.” Under the mission, NASA would attempt to refuel the Landsat 7 satellite by 2019, NASA spokesman Dewayne Johnson noted in an email, “The Restore-L concept remains a study. ... As a mission concept it has not been independently funded.” Ben Reed, deputy project manager for the Satellite Servicing Capabilities Office, said Landsat 7 is the “study case. It’s owned by the government, it’s near the end of its fuel life, so we study it.”"
,57,"Space News (6/12, Gruss, Subscription Publication) reported that the Senate Appropriations Committee, like the House, is requesting no funding for the Defense Meteorological Satellite Program (DMSP) in its 2016 defense spending bill, and even took back $50 million allocated to launch the DMSP-F20 satellite around 2018. According to the Senate report, it is not worth the cost to store a satellite built in the 1990s when “such funds would be better spent on developing new technologies and enhancing the capabilities of the next generation of weather satellites.”"
,58,"Space News (6/8, Gruss, Subscription Publication) reports that the US House Permanent Select Committee on Intelligence agreed to increase funding to the nation’s spy satellite programs in its annual intelligence authorization bill. The bill passed by a voice vote and the overall funding came in roughly one percent below the administration’s recommended budget of $53.9 billion."
,59,"According to Newsweek (5/13, Ziv), The Planetary Society campaign has already surpassed the $200,000 initial goal with 40 days remaining to reach stretch goals."
,60,"Space News (5/4, Gruss, Subscription Publication) reports that according to a Government Accountability Office (GAO) report, the cost of the GPS 3 program rose “by $1.1 billion in the last 12 months.” The report cautioned, “Additional delays or problems discovered during tests of the first satellite could require rework to the remaining satellites in production — carrying the risk of further cost growth.”"
,61,"The Canadian Press (4/22) reports that Canada’s Harper government announced that the country will support the ISS program through 2024. The ESA and JAXA are now the only remaining “key partners” that “have not yet committed themselves beyond 2020.” Meanwhile, according to the article, Aerospace Industries Association of Canada “praised” the government’s decision to add “an additional $30 million over four years...to support cutting-edge research and technology development in Canada’s satellite communications sector.”"
,62,"The Washington Times (3/17, Ybarra) reports that Sens. James Inhofe and Bill Nelson are “angrily accusing the Air Force of slow-walking a congressional mandate to stop using Russian rocket engines for spy satellite launches up through 2019.” The move is “driven by Capitol Hill outrage over the Kremlin’s actions in Ukraine.” The senators are “frustrated” that the Air Force has spent “less than half of the $220 million fiscal year 2015 funds that Congress has set aside for the replacement engine program.”"
,63,"Space News(3/9, de Selding, Subscription Publication) reported that CNES, the French space agency, said that it has provided $30 million for the first phase of a program to help French companies develop all-electric-propulsion satellites, “with more to come to help with in-flight technology validation.” According to the article, the “principal beneficiaries” of the money so far are Airbus Defense and Space, Thales Alenia Space, and Safran’s Snecma division. The article noted that initially, there were concerns that Boeing would “run away with the market” by being the first to develop all-electric satellites, but a lack of sales has allowed Airbus to catch up, “at least in commercial sales.”"
,64,"The Eastern Courier (NZ) (2/18, Williamson) reports that because of his efforts to make spaceflight more accessible with his Electron Launch Vehicle, Rocket Lab Chief Executive Peter Beck has been nominated for “innovator of year at the annual New Zealander of the Year Awards.” Beck claimed that the Electron Launch Vehicle should reduce “the cost of launching a satellite from $132 million to about $5m.” If successful, the vehicle could make New Zealand “the first ‘non-superpower’ country” to conduct a launch as well."
,65,"Space News (2/10, de Selding, Subscription Publication) reported that in a filing with the Securities and Exchange Commission, Google disclosed that it’s investing $900 million in SpaceX “to support continued innovation in areas of space transport, reusability and satellite manufacturing.” However, the article noted that Google devoted more space in the filing to its Project Loon, which will provide “Internet from stratospheric balloons.”"
,66,"The AP (1/20) reported that Google and Fidelity will invest a total of $1 billion into SpaceX, garnering them “a nearly 10 percent stake” in the company. The deal would increase the value of SpaceX to $10 billion. The article noted that the funds could help SpaceX conduct a manned Mars mission “within the next 12 years.” SpaceX’s mission of launching a satellite Internet program also aligns with one of Google’s projects, according to the article."
